2	Verlag Antje Kunstmann
2	Rascher und Cie.
2	Photograph
2	Papierhersteller
2	Misuzu Shōbō publishing
2	H [nicht dokumentiert]
2	Editeur Bernard Campiche
2	DruckerIn
2	Besitzer
2	Beannte Körperschaft
2	Basel Art Forum
2	B [nicht dokumentiert]
2	AktenbildnerIn
2	206bHAN006020 [nicht dokumentiert]
2	... [Urheber] [nicht dokumentiert]
1	Éditions du Rocher
1	Éditions du Pin à crochets
1	Éditions du Béhaire
1	Éditions Verticales
1	Éditions Ides et Calendes
1	Éditions 24Heures
1	École des hautes études en sciences sociales (EHESS)
1	zu Klampen! Verlag
1	vv [nicht dokumentiert]
1	vg [nicht dokumentiert]
1	vermutlich genannte Preson
1	vermutlich gemeinte Körperschaft
1	vermutlich enannte Körperschaft
1	vdf [nicht dokumentiert]
1	ur [nicht dokumentiert]
1	ur  [nicht dokumentiert]
1	so [nicht dokumentiert]
1	s [nicht dokumentiert]
1	m [nicht dokumentiert]
1	lLebensdokument
1	jo [nicht dokumentiert]
1	h  [nicht dokumentiert]
1	genannte Preson
1	genannte Körprschaft
1	genannte Körpreschaft
1	genannte Körerschaft
1	genannet Körperschaft
1	genanne Körperschaft
1	geannnte Körperschaft
1	enannte Körperschaft
1	d
1	adressat
1	a [Interpret] [nicht dokumentiert]
1	[mutmasslich Lebensdokument] [nicht dokumentiert]
1	[mutmasslich Adressat] [nicht dokumentiert]
1	[fischer verlag] [nicht dokumentiert]
1	[Vorbesitzer] [nicht dokumentiert]
1	[Visitenkarte] [nicht dokumentiert]
1	[Urheberin Satzung] [nicht dokumentiert]
1	[Urheberin Druck] [nicht dokumentiert]
1	[Urheber Satzung] [nicht dokumentiert]
1	[Urheber Lebensdokument] [nicht dokumentiert]
1	[Urheber Brief Beilage] [nicht dokumentiert]
1	[Urheber Beilage] [nicht dokumentiert]
1	[Urheber Begleitbrief] [nicht dokumentiert]
1	[Prägung] [nicht dokumentiert]
1	[Notizverfasser] [nicht dokumentiert]
1	[Literarische Agentur] [nicht dokumentiert]
1	[K�nstlergruppe] [nicht dokumentiert]
1	[Kurzbrief] [nicht dokumentiert]
1	[Hersteller] [nicht dokumentiert]
1	[Gruppe] [nicht dokumentiert]
1	[Foto] [nicht dokumentiert]
1	[Festschrift] [nicht dokumentiert]
1	[Enpf�nger] [nicht dokumentiert]
1	[Empf�nger �bergabevermerk] [nicht dokumentiert]
1	[Buchbinderwerkstatt] [nicht dokumentiert]
1	[Briefmarke] [nicht dokumentiert]
1	[Blindstempel] [nicht dokumentiert]
1	[Bild] [nicht dokumentiert]
