90	[Widmungsempfängerin]  [nicht dokumentiert]
90	Verfasserin
87	[�ber] [nicht dokumentiert]
86	o [nicht dokumentiert]
84	[Widmungsempf�nger] [nicht dokumentiert]
84	[Souffleur]  [nicht dokumentiert]
83	[Dirigent]  [nicht dokumentiert]
81	[Nachschrift] [nicht dokumentiert]
80	[Beschriftung]  [nicht dokumentiert]
78	[Disp.] [nicht dokumentiert]
78	Drucker
75	kp [nicht dokumentiert]
74	[Korresp.]  [nicht dokumentiert]
74	[Autogramm]  [nicht dokumentiert]
74	KorrektorIn
71	C. [nicht dokumentiert]
70	Kamera
69	[mutmasslich K�nstler] [nicht dokumentiert]
67	Maler
65	[Resp.] [nicht dokumentiert]
65	AktenbildnerIn
62	Verleger
61	[Grußempfänger]  [nicht dokumentiert]
61	[Anmerkungen] [nicht dokumentiert]
60	[Verfasserin]  [nicht dokumentiert]
60	[Regie]  [nicht dokumentiert]
59	Empfänger
58	Hrsg.
58	Dirigent
57	[Festschrift]  [nicht dokumentiert]
56	[Weitere/r Verfasser/in] [nicht dokumentiert]
56	TechnikerIn
55	[Unterzeichnerin] [nicht dokumentiert]
54	[Textverfasserin] [nicht dokumentiert]
54	VortragendeR
50	[Widmungsadressat]  [nicht dokumentiert]
50	[Dirigent/in] [nicht dokumentiert]
50	... von [Schreiber] [nicht dokumentiert]
49	[mutmasslich Portrait] [nicht dokumentiert]
48	[Übersetzerin]  [nicht dokumentiert]
48	MalerIn
47	it  [nicht dokumentiert]
47	[Beitrag]  [nicht dokumentiert]
47	Besitzer
46	[Opp.] [nicht dokumentiert]
46	BühnenbildnerIn
45	?
44	[Zeichnerin] [nicht dokumentiert]
44	[Vorbesitzer] [nicht dokumentiert]
44	[Protokollf�hrer] [nicht dokumentiert]
44	Unterzeichnender
43	[�bersetzer] [nicht dokumentiert]
43	[Unterschrift]  [nicht dokumentiert]
42	[Mitunterzeichner]  [nicht dokumentiert]
41	[Regie] [nicht dokumentiert]
41	Buchbinder
38	[Illustrator] [nicht dokumentiert]
37	[Schauspielerin]  [nicht dokumentiert]
37	Photograph
36	[mutmasslich Verfasserin] [nicht dokumentiert]
36	[Widmung] [nicht dokumentiert]
36	[Mitarb.] [nicht dokumentiert]
35	Regisseur
34	[Widmung]  [nicht dokumentiert]
34	[Besitzer] [nicht dokumentiert]
33	y  [nicht dokumentiert]
33	[Mitverf.] [nicht dokumentiert]
32	so [nicht dokumentiert]
32	[Mitarb.]  [nicht dokumentiert]
32	KostümbildnerIn
31	v [nicht dokumentiert]
31	[Verfasser/ in] [nicht dokumentiert]
31	[Verfasser Gedicht] [nicht dokumentiert]
31	[Verfasser Brief] [nicht dokumentiert]
31	[Nachlasserin] [nicht dokumentiert]
31	[Komponistin] [nicht dokumentiert]
30	[mutmasslich Übersetzer] [nicht dokumentiert]
30	[mutmasslich Zeichner] [nicht dokumentiert]
30	[Praeses] [nicht dokumentiert]
29	ph [nicht dokumentiert]
29	[Sprecher]  [nicht dokumentiert]
29	[Interviewer]  [nicht dokumentiert]
29	Urheber
29	Besitzerin
