wert	haeufigkeit
Rohrbach, Elsbeth (1891-1975)	152
Konstanz (Diözese) / Generalvikariat	152
Heumann, Friederike (1785-)	152
Seconda, Ludwig	151
Thoma, Katharina (1831-1894)	151
Halden, Marianne	151
Winkler, Erich [vermutlich]	150
Luckhardt, Minna	150
John, August	150
Beisler, Karl	150
Rüdel, Johann Abraham	150
Horst, Christoph Heinrich (1761-1810)	150
Schmidt, Franz Adolf	149
Soleilhavoup, François	149
Neumann, Martina (1888-)	149
Felder, Jakob	148
Bergen, J. H. zum	148
Heyse, Paul	148
Schmidt, Johanna	148
Bernhorst, Doris (1909-1980)	148
Ursin, Christian Friedrich	148
Pätzold, Rudolph	147
Fassl, Anton Hermann (1876-1922)	147
Knauer, Marga	147
Jahn, Emilie	146
Gehmlich, Ernst	146
Ruscher, Frieda	146
Unbekannt [vermutlich]	145
Möbius, Friedrich	145
Heinz, Else	145
Feist-Belmont, Auguste	145
Laurentii, Catharina Beata	144
Hartmann, August Christian	144
Schlippe, Otto (1893-)	144
Peters, ...	143
Anslaer, Willem	143
Lange, Viktor	143
Bauer, Friedrich (-1938)	143
Haag, Martin	142
Koch	142
Markau, Anselm (1920-1944)	142
Kühne, Ernst Erich (1885-1969)	142
Alpi, Jean Bernard [ermittelt]	142
Lippe, Marie zur	142
Lehmann, ...	141
Berlin, Johannes (1686-1742)	141
Hüttemann, Christian Friedrich	140
An Huef, Elke	140
Schlippe, Margarete (1863-1948)	139
Kranck, Ernst Hakan	139
Müller, Christian August	138
Boeck, Traude	138
Fries, ...	137
Müller, Georg	137
Ahner, Paul	137
Schöler, Dolly	137
Termier, Henri	137
Melber, Sabine	137
Schmid, Ines	137
Otto-Ludwig, Cordelia (1858-1909)	136
Wulff, L.	136
Bodewig	136
Kade, Emil	136
Wemme, Fritz	136
S., M.	136
Roubault, Marcel	136
Held, Margarete	136
Geller, Hans-Christoph	135
Kewitsch, Karl Theodor (1834-1903)	134
Stefl, Magda	134
Mayer	133
Wackerhagen, Ernst August W.	133
Gineri, Olympia	133
Heckel, Wilhelm Hermann	133
Dalwigk, Louise von	132
Horwath-Gumulowa, Ludmila	131
Heimert, Lothar	131
Lütcke, Heinrich (1882-)	130
Wilson, Gilbert	130
Todsen, Heinrich	130
Herrmann, Lydia	130
Schilling, Emilie	129
Lungwitz, Hermann	129
Rickert, Hinrich (1848-)	129
Kreipe, Margarete (1922-)	128
Ohsoling, Hilke	128
Bauer, Josefine	128
Reichenbach, ... von	127
Buck, August	127
Nuding, Christoph Erasmus	127
Munk, Wilhelm von	127
Knoll, Samuel Benjamin	127
Loeffler, Sabine (1919-2005)	126
Piaste, Wilhelm	125
Pfüller, Sophie	125
Weinraub, Bernard	125
Spielmann, Josefine (1897-1964)	125
Kehl, Marianne	125
Laux, Maria Aloysia	124
Geller, Katharina	124
Berthelsen, Asger	124
Brockhoff, Gustav (1825-1896)	124
Lange	123
Schulze	123
Pettersson, Hans	123
MacIntyre, Donald B.	123
Fulde, August Friedrich	122
Berthold, Johannes	122
Kind, Alexander	122
Bremer, Elisabeth (1832-1907)	122
Prenner, Wilhelmine	122
Weber, Josephus	122
Oriolla, Waldemar von (1854-1910)	122
Santoro, Alda	122
Neumann, Gertrud	121
Vella, Giuseppe	121
Zeibig, Brigitte	121
Matthäi	120
Kämmerling, Peter	120
Otto, Antonius	120
Dishoeck-van Groenenbergh, Rudolfine (1921-)	120
Lind	119
Carl, H... A...	119
Villers La Faye, Antoine Marquis de (1740-1818) [vermutlich]	119
Neuendorff, Marie (1882-)	119
Reichel, Christlieb	119
Englert, Lotte	119
Denny, Clara	119
Bujard, Wolfgang	119
Allgäuer, Maria	118
Illgen, Gotthilf Friedrich	118
Pothmann, Wilhelm	118
Haeseler, Carl	118
Wittmann, Josef	118
Issendorff, Johanne von	118
Hee Wadum, Christen	118
Schulz	117
Werner	117
Donadini, Ida	117
Hübotter, Wilhelm (1895-1976)	117
Wagner-Poltrock, Anneliese	117
Rose, Gerhard	116
Fritzsche, H.	116
Bonsels, Frank Lothar (1906-1944)	116
Gebauer, Elisabeth Karoline Viktorie	116
Voß, Christian (1885-1977)	115
Prüfer, Käte	115
Martínez, Hester	115
Rehberg, Auguste	115
Martini, Johann David	115
Friedrich, Rosa (1877-1953)	114
Köhler, H.	113
Klinger, Henriette	113
Laban, Roland von (-1994)	113
Huelsebus, Barbara	113
Kilp, Johann	113
Bächler, Dieter	113
Braun, ...	112
Jacobsen, Hedwig	112
Janssen (Geschwister)	112
Raupach, Richard K.	112
Hofmann	111
Schäffer	111
Schultes, Johannes	111
Unbekannt (CS*)	111
Holm, Annie (1870-)	111
Berendt, G.	110
Bueren, Godfried	110
Stevenson, William	110
Spranger, Matthias	109
Mette, Alexander	109
Mayer, Arnold	109
Dütz, Anton	109
Bellair, Pierre	109
Arteta, Thomas Fermin de (Don)	109
Köhler, Andreas (-1888)	109
Otto, Gerhard	108
Polenz, Erich von	108
Olbricht, Margarethe	108
Hartknoch, Luise	108
Eynern, Otto von (1843-1916)	108
Oriolla, Marie von (1846-1915)	108
Emhardt, Karl-Heinrich (1905-1976)	108
Gebauer, Johanna Sophie Henriette Christiane	108
Ringeltaube, Wilhelm Tobias (1770-1816)	107
Decloitre, Lucien	107
Minkenberg, Heinrich	107
Hundbiss, Friedrich	107
Franke, Lotte	107
Krausz, Valerie	107
Sandersleben, Karl von	106
Viole, Marie	106
Böhme, August Wilhelm	106
Haag, Herbert	106
Hoesch, Fridl (1897-)	106
Klein	105
Geissler	105
Beierlein, Walther (1883-1971)	105
Espig, Hermann	105
Hölder, Lotte	105
Unbekannt (Dehmel-Archiv)	105
Frank, Otto (1878-)	105
Oberländer, Else (1890-)	105
Sybel, Johann Nikolaus	105
Greiffenpfeil, G. von (1693-)	105
Jordan	104
Reimann	104
Wille, R.	104
Fischer, Alice	104
Loch, Rudolf	104
Hedrich, Carl (1790-1858)	104
Zachert, A. H.	104
Herman, Juan Baptista (-1793)	104
Bonsels, Nils (1910-1937)	104
Winkler, ...	103
Perutz, Grete	103
Tümmler, Karl	103
Müller,	103
Schwär, Johanna	103
Bollert, Werner (1910-)	103
Schuller, Hermann	103
Kessler, C. L. J.	103
Bergmann, Eva-Maria	103
Karolczak, Gisela	103
Michel, Aimé	103
Fromm, Maria	103
Diebold, Johann (1842-1929)	103
Kirschstein, Moritz (1815-1900)	103
u.a.	102
Lehmann, Sybille	102
Heinrich, A.	102
Kade, Rosa	102
Böhme, Lothar [vermutlich]	102
Schacher, Joh. Jakob	102
Schellhafer	102
Mendelssohn Bartholdy, Mathilde (1848-1937)	102
Mendelssohn, Rosamunde (1804-1883)	102
Nabering, Dirk	102
Berger (Baron)	102
Pissart, A.	102
Blank, Helmut	101
Bernhard,	101
Beck, Georg Wilhelm (1729-)	101
Baedeker, Marianne	101
Quidde, Rudolf (1861-1942)	101
Rhajappen (1742-1797)	101
Müller	100
Lange-Müller, P. E.	100
Morgenstern, Gustav (1867-1947)	100
Danckwortt, Helga	100
Sussnitzki, Alphons J.	100
Buckley, Tom	100
Ebermayer von Richthofen, Alexander	100
Beer, Cäcilie	100
Jacobson, Gertrude	100
Michael, Johann Wolffgang	100
Scheibler, Carl Christian	100
Schneider, Hannes	99
Peter, Rudolf	99
Cassel, Susanna (1896-1976)	99
Menaḥem Manish	99
Stieringer, Klaus (1927-)	99
Hoernigk, Carl Gottfried Friederich	99
Siewerts, Rasmus	99
Hahn, ...	98
Dotzler-Molkring, Leonie	98
Brandenburg, Arnold Balzer (1737-1807)	98
Schmidt, Johann Heinrich	98
Richter, Sonja	98
Treaster, Joseph B.	98
Zoff, Mimi	98
Beck	97
Schneider, ...	97
Karrer, Madeleine (1932-2013)	97
Böhme, Elisabeth	97
Munari, Franco (1920-1995)	97
Shoshani, Avi (1948-)	97
Wasmann, Adolf	97
Ury, David	97
Saher-Riwkin, Lilla van	97
Handrick, Willy	96
Richter, E. Lisette H.	96
Elsner, Martin	96
Poock, Daniel	96
Richter, Bernt	96
Konstanz (Diözese) / bischöfliches Ordinariat	96
Heim, Ilse	96
Früchtenicht, Lambert Christian (1772-1806)	96
Tippu Sultan	96
Geidel, F. M.	95
Kuczynski, Peter (1937-2007)	95
Börner, Sophie	95
Cimoso, Luigi (-1884)	95
Boegehold, Sophie	95
Feuerstein, Josef	94
Winkler, Erich	94
Michael, Theodor Immanuel	94
Arzak, Marta	94
Gebler, Christian Gottlieb	94
Grégoire de Blésimaire, Anthime (1787-)	94
Hirmer, Max	94
Beisler, Else	94
Rayanayakkan	94
Gruner, Käthe (1889-)	93
Krause, Carl Erasmus	93
Sommer, Karl	93
Zopf, Heinrich (1684-1740)	93
Schröpel, Hans	93
Klopfer, Hedwig	93
Adler, Peter Philipp	93
Unger, Ernina	93
Reichstein, Joachim	93
Seebach, Louise von	93
Giboulot, Marguerite	93
Keller, Otto	92
Bauer	92
Seidel, ...	92
Süßmilch, Waldemar	92
Alimen, Henriette (1900-1996)	92
Klemm, Ine	92
May, Carl Viktor von (-1853)	92
Geck, Marie	92
Hoffmann, Dorothea	92
König	91
Uhlfelder, Gertrud	91
Schmidt, Werner Karl	91
Heller, Carl Philipp (1769-1809)	91
Söllner, Peter	91
Seidel, Bernhard	91
Germano, Heinrich	91
Pförtner, Paul	91
Lehmaier, Pauline (1871-)	91
MacNeal, Charles Stuart	91
Dietrich, ...	90
Köhler, ...	90
Jacobi	90
Sachse	90
Vogel	90
Budde	90
Günzler-Seiffert, Hans	90
Gleerup, Emilie	90
Mylius, Andreas	90
Födransperg, Alfred	90
Osterhoff, Petra	90
Grote, Otto von	90
Denny, Wayne	90
Boeck, Annemarie	90
Kreilein, Maria	90
Schröder	89
Sachse, C. A.	89
Freese, Anneliese	89
Mayer, Josephine	89
Hagen, Auguste von (1764-1835)	89
Dirks, Herbert W.	89
Rasmussen, Lauritz Emil (1873-1956)	89
Ernst (Sachsen-Gotha-Altenfeld,Herzog,I.) (1640-1674)	89
Weller, Henry Ludwig	89
Schwarz	88
Voigt, ...	88
Krause	88
Prutz, Martha	88
Braun-Sommer, Helma	88
Groß, Johann Heinrich	88
Schmid	87
Fuchs	87
Wolf, Heinz	87
Büttner, Maria Butáreff	87
Kaiser, Viktor	87
Traube, H.	87
Hähle, Otto	87
Günther, Hilmar	87
Wemme, Gottfried	87
Rutsch, Rolf Friedrich	87
Goldast von Haiminsfeld, Melchior	87
Scholkmann, Adolf (1843-1907)	87
Hentschel, Albrecht	87
Broughton, Thomas (1712-1777)	87
Magdalena Sybilla (Schwarzburg-Rudolstadt, Prinzessin)	87
Philipp (1731-1788)	87
Braun, Franz	86
Konradt-Hicking, Margarete	86
Günther	86
Thomsen, Christian	86
Kaechele, Gerd	86
Sauerbrey, Johann Andreas	86
Schroeter, Arthur	86
Thoma, Peter (1864-1924)	86
Low-Beer, Fritz	86
Stahlbaum, Christian Friedrich	86
Jäger, Johann Friedrich	86
Buchs, Daniel von	86
Hutter, Johann Heinrich	86
Bäumer, Constanze	85
Heller, Peggy (1774-1839)	85
Berner, ...	85
Gröpler, Wilhelmine	85
Neugebauer, G.	85
Käser, Adolf	85
Bourdier, Franck	85
Randal, Jonathan	85
Baggesen, Helene [vermutlich]	85
Hoferichter, Franziska	85
Komatsu, Taro	85
Fontane, Theodor	84
Neumann, ...	84
Rentzsch, Leni	84
Kröber, Friedrich Emil	84
Löscher, Hermann	84
Pfannenstiel, Johann	84
Schneider, Berta	84
Struck, Anni (1926-)	84
Meiners, Adelina (1878-1968)	84
Wild, Nikolaus Ernst	84
Müller, Friedrich	83
Niescher, Ilse	83
Mayer-Kaupp, Erika	83
Teubern, Augusta von	83
Mallachow, Eleonore (1894-1973)	83
Jahn, Gisela	83
Michel, Jean-Pierre	83
Ters, Mireille	83
Jobert, Louis (1647-1719)	83
Graf, Alfred	83
Kiessling, Johann Tobias	83
Schäfer	82
Wildenbruch, Ludwig von	82
Steinthal, Heymann	82
Kollmann, ...	82
Chamisso, Johanna von (1829-1908)	82
_p7494	82
Mickwitz, Christoph Friedrich (1696-1748)	82
Engelmann, Theodor Wilhelm	82
Ganz, Gertrud	82
Robinson, Douglas	82
Schumacher	81
Schubert, Franz	81
Wulff, G.	81
Walther	81
Schmidt, Carl	81
Dąbrowska, Grażyna	81
Engel,  Rudolf	81
Messerschmitt, Else	81
Strasser, Joseph Willibald	81
Reck-Malleczewen, Irmgard (1909-1999)	81
Melichar, Maria	81
Maione, Italo	81
Siegfried, Georg	81
Tullasu Rasa (1734-1787)	81
Cämmerer, Johann	81
Hagelund, Peder Rubek (1756-1788)	81
Kirchner	80
Spindler, Elisabeth	80
Michaelis, Cassie	80
Gabriel, Walter (1895-)	80
Heldmann, Horst	80
Knobloch, Alfred	80
Jonas, Helene	80
Breitbarth, Helmut	80
Heidl, Alfred	80
Brown, Kay	80
Spiro, Assja	80
Gley, E. C. G.	79
Goewe, Jürgen	79
Legler, Ida	79
Brühl, Ludmilla Gabriele Marie von (1830-1894)	79
Mendelssohn-Bartholdy, Else (1857-1940)	79
Calmels, Augusto Pablo	79
Burri, Marcel (1929-)	79
Josephson, Matthew	79
Mennel, Gottfried	79
Müller, Carl	78
Kakies, Hans	78
Nussbaum, Helga	78
Hamburg, Simon	78
Richter, Regine	78
Oschatz, Anna	78
Iden, Rolf	78
Probst, Johann Gotthilf	78
Eder, Martin	78
Urqullu, Miguel Mariano de	78
Anderson, Raymond H.	78
Obreschkowa, Eudoxia	78
Daelhausen, Abraham Heinrich	78
Engel	77
Uszkoreit, Hans-Georg (1926-)	77
Gebauer, Horst	77
Furchau, Emma (1823-1875)	77
Leschner,	77
Quast, J.	77
Lübold, Ingeborg	77
Jeannet, Alphonse	77
Rapp, Elisa	77
Rickert, Louise	77
Behringer, Laura	77
Simon, Herman Veit (-1914)	77
Krüger	76
Grunwald-Eisfelder, Hanna	76
Tittlbach	76
Baum, Joseph	76
..., Philippine	76
Buxtorf, August	76
Jung, Jean (1896-1977)	76
Rosenstingl, Rutta	76
Hezner, Laura (1862-1916)	76
Menchen, Johann Philipp	76
Hagemeister, Lubert Johann	76
Krause, ...	75
Pohl	75
Wittlin, Halina	75
Proft, Walter	75
Brauer, Julius	75
Wyttenbach	75
Hain, Paul	75
Ahner, Louis	75
Bruna, Herbert	75
Rieppel, Eva	75
Werner, J... G...	75
Schwarz, Klaus (1915-1985)	75
Vijaya, Indra	75
Oriolla, Eduard von (1809-1862)	75
Disler, Jürg	75
Raesfeldt, Ludwig von	75
