wert	haeufigkeit
Binsfeld, Johann von	2
Arenberg, Maria Cleophe von (1599-1685)	2
Bronckhorst-Batenburg, Maximilian von (-1641)	2
Criechingen-Pietingen, Georg von (-1567)	2
Criechingen, Peter Ernst II. von (-1633)	2
Criechingen, Johann Ludwig von (-1681)	2
Criechingen, Peter Ernst I. von (1547-)	2
Criechingen, Thomas von	2
Criechingen, Peter Ernst III. von (-1636)	2
Cronberg, Anna Margareta von (1568-1629)	2
Kronberg, Maria Franziska von (1634-1686)	2
Cronberg, Hermann von (1583-1626)	2
Cronberg, Magdalena von	2
Cronberg, Maria Elisabeth von	2
Cronberg, Lucretia von	2
Daun-Falkenstein, Anna von	2
Limburg, Wilhelm zu	2
Eberstein-Boldrungen, Felicitas von	2
Everstein-Massov, Wolfgang von (1538-1592)	2
Everstein, Volrad von (1580-1641)	2
Brendel von Homburg, Johann (-1569)	2
Dam, Christoph von	2
Kurwang, Georg Melchior	2
Rohrhand, Johannes	2
Wissel, Margareta	2
Zach, Henrich	2
Sölling, Gerhard Caspar	2
Rauscher, Ursula	2
Engelhardt, Simon	2
Adolf (Nassau-Idstein-Wiesbaden, Graf, III.) (1443-1511) [vermutlich]	2
Schlossberger, Konrad (1558-1638)	2
Lodron, Hieronymus Joseph von	2
Beris, Jacob	2
Stain, Hans vom	2
Stain, Marquard vom	2
Schertlin, Hans Friedrich	2
Thalhaim, Hans Ulrich von	2
Pollweiler, Niclaus von	2
Schulenburg, Burchard Jakob von der (-1682)	2
Souches, Ludwig Raduit von (1608-1683)	2
Schulenburg, ...	2
Wildenstein, Martin Wilhelm von	2
Schönhut, ...	2
Davier, Martha von	2
Campbell, Marianne	2
Canning, ...	2
Chetwynd, ...	2
Cole, John Griffith	2
Davies, James	2
Grant, Alexander	2
Reid, John (1809-1849)	2
Dodd, Georgina	2
Creagh, Peter	2
Finch, Maria	2
Fitzherbert, ...	2
Forbes, Francis-Reginald	2
Foster, Frederick	2
Hampden, J.	2
Harrowby, ...	2
Hayes, Richard	2
Ledgewich, ...	2
Leinster, ...	2
Long	2
Lousinianos, Iakovos	2
Matthew, George	2
Richardson	2
Meheux, J.	2
Patteson, John (1790-1861)	2
Hill, Arthur (1792-1860)	2
Staunton, John	2
Stewart, J. G.	2
Sutherland, ...	2
Odillon-Barott, M...	2
Wolters, G. [vermutlich]	2
Bianchi,...	2
Blin, ...	2
Boisbertrand, Étienne Tessière de (1780-1858)	2
Boyne de Faye, ...	2
Bréguet, L.	2
Morel, Frédéric	2
Castel, Jean	2
Chalabre, ...	2
Bergon, ... (-1824)	2
Gal, ...	2
Molthan, Justus Heinrich Jakob (1805-1885)	2
Dumoustier	2
Durand, ...	2
Ferté de la (Baron)	2
Montmirail, Louise Charlotte Le Tellier de [vermutlich]	2
Foucault	2
Franchet-Desperey, ...	2
Montemont	2
Seville, Armand	2
Lainé, Joseph Henri Joachim (1768-1835)	2
Marx, ... [vermutlich]	2
Leindre, ... de	2
Berthevin, Pierre [vermutlich]	2
Mauchretien, ...	2
Frebout, Louis Francois Nicolas	2
Westheimer, John	2
Racyne, Charles	2
Bardin	2
Suchet, Honorine	2
Tabarie, Michel Marie Etienne Victor (1768-1839)	2
Thomas, Charles	2
Hudry, Vania le	2
Posse, Christine (1798-1847)	2
Silvestrini, Francesco	2
Rhini, Francesco Maria	2
Schmalkalder, ...	2
Pfeffer, Andreas [vermutlich]	2
Barbiano di Belgioioso, Anna	2
Justiniani de Chio, Maximilian Joseph	2
Luca, Francesco de	2
Piccolellis, Francesco	2
Giuliano, ...	2
Mantelli, Scipione	2
Rommel, A. von	2
Schindelmeisser	2
De Antoni, Nicola	2
Correns, Jozef Cornelius (1814-1907)	2
Coquerelle, ...	2
Frizzoni, Teodoro (1838-1931) [vermutlich]	2
Oppler, Ella [vermutlich]	2
Geerts, François	2
Hasting, C. F.	2
Hazeu, A. C.	2
Dessauer, ... von	2
Hollstein, Eduard	2
John, Wilhelm (1813-)	2
Laurent, Jules	2
Leypold, Julius von (1806-1874)	2
Liebsch, Ferdinand (1816-1905)	2
Liotard, Jean Michel (1702-1798)	2
Ludolff, Jacob Heinrich (1793-1873)	2
Mahner, Luise (1799-1861)	2
Maswiens, Joseph (1828-1880)	2
Marées, Adelbert de	2
Müller, Robert (1815-1854)	2
Otto, Carl (1830-)	2
Meder, W.	2
Steinberg, Bodo (-1897) [vermutlich]	2
Rogers, Philip Hutchins (1786-1853)	2
Ronner, F.	2
Sarazin de Belmont, Louise-Joséphine (1790-1870)	2
Schmidt, A. G.	2
Schmidt, Eduard (1806-1862)	2
Schnaase, Charlotte von	2
Schönberger	2
Schulten, Arnold (1810-1874)	2
Sickert, Johann Jürgen (1803-1864)	2
Stock, Henri	2
Hopkins, ...	2
Ventadour, Jean Nicolas	2
Wolff, F.	2
Kestner, Edouard	2
Hauser, Johan	2
Beauval, Rose	2
Berner, Susanna	2
Kiesling	2
Grote, ... von	2
Clementi, Carl	2
Drobisch, ...	2
Ernst, C. W.	2
Colman	2
Hellmesberger, ...	2
Hunnius, Friedrich (1762-1835)	2
Kneisel	2
Busch, ... von	2
La Roche, Louis	2
Lipińský, Karel Josef (1790-1861)	2
Mädel	2
Falk von	2
Mende, F.	2
Marschner	2
Müller, E. F.	2
Helmuth	2
Nicolini	2
Preuß, E.	2
Queck, Carl Christian	2
Rosenau [vermutlich]	2
Schantroch, ...	2
Schick, Margarethe Louise Aloysia	2
Coquerel, ...	2
Tantini, Francesco	2
Wagner, Clemens Anton (-1793)	2
Werthen, Juliana Franzisca	2
Wiedermann	2
Bach, August	2
Canitz, Wilhelm von	2
Denifle, Franz	2
Dobbermann, ...	2
Ehrling, Johann Franz	2
Ferdiner, Carl	2
Fiedler, Margareth	2
Friedberg, Carl	2
Friedberg, Dorothee Amalia	2
Geiling, C. T.	2
Gley, Johann Friedrich (1775-1832)	2
Göde, Jeanette	2
Groot, ...	2
Haslinger, J. M. G.	2
Haupt, B. v.	2
Huber, Joh.	2
John, L.	2
Kallmes, ...	2
Kroseck, Johann Christian (1754-1836) [vermutlich]	2
Kunst, ...	2
Laubacher, J.	2
Lindener, L.	2
Lissner, ...	2
Ludger	2
Mack, Carl Joseph	2
Meith, J. Dominic	2
Poysel, Johann (1745-)	2
Radlof, K.	2
Reichard, Peter	2
Reinberg, ...	2
Richter, Caroline	2
Schaffner, C. G.	2
Scheibl, ...	2
Schnoor, ...	2
Spiri, Aloys	2
Schwarz, K. W. J.	2
Schupp, ...	2
Neumann, Chr. [vermutlich]	2
Scopp, J. Gottfried	2
Steinmüller, Johann Wilhelm	2
Stollmers, Johann	2
Storbäck, B. C. (1734-)	2
Storbäck, J. F.	2
Unger, Johann	2
Vagedes, Friedrich von	2
Wagner, Johann Gabriel	2
Weiffenbach, C. F.	2
Willers, ...	2
Münzenberger, Jacob	2
Forstmeister	2
Grabenhorst, ... [vermutlich]	2
Hoheneck, Franz Jakob Anton von [vermutlich]	2
Liekefett, ...	2
Moretti, Jacob	2
Neorberg, Karl von	2
Schlippenbach, ... de	2
Schweitzer, Charles	2
Stieller, ...	2
Vieth, ... [vermutlich]	2
Brönner, H. L.	2
Strecker [vermutlich]	2
Zinnicq, Franz von [vermutlich]	2
Firmin	2
Gehlhaar, Ludowika	2
Hochkirchen, Cato	2
Bussche, Friedrich August Theodor von dem [vermutlich]	2
Kaibel, ...	2
Kübler, Marianne	2
Fetzer	2
Mink, Therese (1812-1881)	2
Villars, ...	2
Ristori, ...	2
Aretin, ...	2
Bouterweck [vermutlich]	2
Dorow, ... [vermutlich]	2
Bouterwek, ...	2
Grotefend [vermutlich]	2
Beurmann, ...	2
Beynroht, ...	2
Bischoff, Louise	2
Bouterwek, Julie	2
Brentano-Laroche	2
Stahr, Wolf	2
Waddington, G. M.	2
Clar, Anton August	2
Crusius, Magnus Friedrich	2
Czarnowski, Otto von	2
Stahr [vermutlich]	2
Fabricius, Johannes d.Ä. (1618-1676)	2
Freitag, ...	2
Dahlmann, ...	2
Goeckingk, ... von	2
Güldenstubbe, Julie von	2
Mundhenk	2
Hammer, Josef von	2
Hayn, J. R.	2
Heuser, ...	2
Scheele, Adolf	2
Herd, ...	2
Kruse, Heinrich	2
Gatterer	2
Lardy	2
Calame	2
Mérian-Bischoff, Pauline	2
Scheurer-Kestner, Jeanne	2
Laurent-Pichat, Geneviève	2
Heyer, Carl	2
Rosenbach	2
Kohl, Johannes	2
Leisewitz, Franz Justus	2
Mesnil, Charles du	2
Merckel, ...	2
Niccolini	2
Palffy von Erdöd, ...	2
Starcke, Joh. Ad.	2
Rauschenplatt von	2
Schroeder, Andreas von	2
Heydorn, Pauline	2
Reydt, Bernd von	2
Glaser, Michael	2
Ziegler, Alexander [vermutlich]	2
Pawelka, Ernst	2
Drodtloff, ...	2
Weichert, ...	2
Bock, A. [vermutlich]	2
Malortie, ... von	2
Schütz, Georg [vermutlich]	2
Spalding, Maria Charlotte	2
Wackerhagen, Molly	2
Claus, Johann Friedrich [vermutlich]	2
Simson, Marie	2
Schlosser, L. H.	2
Sohr, Caroline	2
Schneider, Sebastian Roderich	2
Detmold, Heinrich [vermutlich]	2
Kehler, Helene von [vermutlich]	2
Steuber, Chr. Heinrich Wilhelm	2
Stülpnagel, ... von	2
Dieminger, Ludwig	2
Yorck von Wartenburg, Bertha (1807-1845)	2
Vitzthum, Marianne von	2
Xylander	2
Hellius	2
Willing, ... von [vermutlich]	2
Wernicke, Oswald	2
Pesters, J.	2
Born, Nicolas von	2
Maerhaeus, Antonius	2
Dentzsch, ...	2
Stein-Callenfels, H. A. von	2
Faure, Joannes Fridericus	2
Verwey, Bernh.	2
Bagly, Jonathan	2
Lancey, Oliver de	2
Clinton, George	2
Eyre, William	2
Turnbull, John [vermutlich]	2
Barber, Francis	2
Phillips, ...	2
Webb, ...	2
Ross, John	2
Neilson, John	2
Gosling, Adolph	2
Gosling, Adolph [vermutlich]	2
Gardner, Alex	2
Fitch, ...	2
Folson, Nathanel	2
Paine, Edward P.	2
Emerson, Joseph	2
Ramsay, John	2
Howard, Baz.	2
Hun, Abraham	2
Lowry, William	2
Johnson, ...	2
Buttler, ...	2
Nelson, John	2
Backer, ...	2
Harrison, ...	2
Tennant, William	2
Gray, Ebenezer	2
Webster, William	2
Williams, Salomon	2
Haza, Johanna von (1794-1849) [vermutlich]	2
Wodzinski, Karol	2
José I., Rei de Portugal (1714-1777)	2
Glama, Lino Manoel	2
Gabe, Francisco	2
Schloen, Hieronymus Johann von	2
Bythner, Johannes (1602-1675)	2
Sander, Johann	2
Adelepsen, Thedel Borchardt von	2
Adelsheim, Gottfried von	2
Adelsheim, Siegmund von	2
Affenstein, Wolff Heinrich von	2
Affenstein, Philipp Jacob von (1551-1621) [vermutlich]	2
Ahlfeld, Dietrich von	2
Ahlefeld, Georg von	2
Alten, Eberhard Ludwig von	2
Bierwirth	2
Oldenburg, Heinrich Dietrich	2
Alten, Johann von	2
Altenbruch, Wilhelm von	2
Althamer, Andreas [vermutlich]	2
Altmannshausen, Damian von	2
Amelunxen, A.	2
Anderten, Ludolf Otto von	2
Andlau, Einhard von	2
Andlau, Hans Ludwig von	2
Andlau, Wolf Philipp von (1618-)	2
Angelach, Bernhard von (1532-1599)	2
Anweyl, Hans Caspar von	2
Arbois, Franz von	2
Arnsberg, Degenhart von	2
Klepping, Johann	2
Ascheberg, ...	2
Aschersleben, Friedrich Carl Leopold von	2
Saldern, Friederike Amalie von der (1740-1793) [vermutlich]	2
Assbeck, Johan von	2
Assbeck, Georg von	2
Ath, Heinrich von	2
Aufsess, Wolf von	2
Autel, Catharina von	2
Elter, Johann Friedrich von (1645-1716)	2
Avila zu Tacheroth, ...	2
Baexen, Johann Heinrich von	2
Münster, Goswin Ferinand von	2
Baier, Christoph von	2
Truchsess von Baldersheim, Sigmund	2
Barisey, Franciscus de [vermutlich]	2
Barisey, Franciscus de	2
Bar, Friedrich zu	2
Bar, Hermann de	2
Basseradt, Hermann von	2
Basseradt, Anna Christina von	2
Bauclain, Marguerite de	2
Bawyr, Hermann Sigismund von und zu	2
Beaurieu de Dammartin	2
Bechtholsheim, Caroline von	2
Thüngen, Johanna Julina von	2
Bechtolsheim, ...	2
Beer van Laer, Dietrich	2
Elfen, Gertrud Beate von	2
Beertz, Anna Catherina von	2
Beertz, Gertrud von	2
Mörle, Wolf Eberhardt von	2
Mörle, Katherina von	2
Mörle, Hans Jörg von	2
Mörle, Jobst Dietrich von	2
Beissel von Gymnich, Friedrich	2
Benckendorff, Joachim von	2
Beninga, Maria Alexandrine (1705-1740)	2
Beninga, Beatrice Dorothee (1708-1772)	2
Schenk von Neindorf, Wolf Jacob	2
Neindorf, Hedwig Elisabeth von	2
Dolsieg, Christoph Matthias	2
Jüngke, Melchior	2
Spitznahs, Johann Sophie von	2
Messer, ...	2
Berlichingen, Valentin von (-1600)	2
Berlichingen, Philipp Ernst von	2
Berlichingen, Otto von	2
Berlichingen, Ulrich Christoph von	2
Berlichingen, Dominique von	2
Berntzhoff, Hans Volmar von	2
Berodt, Georg von	2
Bevern, ...	2
Bibra, Valentin von (-1595)	2
Bicken, Jobst Philipp von	2
Bicken, Anna Elisabeth von (1592-1669)	2
Bildstein, Hauprecht von	2
Bischopinck zur Wysche, Aschwer	2
Blanckart, ...	2
Blarer von Wartensee, Caspar	2
Blittersdorf, Johann Werner von	2
Bochenthaler, Veronica	2
Bochenthaler, Hans Ernst	2
Bodemeyer, Johann Hildebrand [vermutlich]	2
Bodemeyer, Johann Julius [vermutlich]	2
Bodman, Hans Konrad von	2
Bollstatt, Sigwart von	2
Bollstatt, Christoph von	2
Bommersheim, Johann Eberhard von (-1618)	2
Orsbeck, Margarethe von [vermutlich]	2
Bongart, Anna Maria von	2
Bongart, Josina Maria von der [vermutlich]	2
Bonhome, Nicolaus Franciscus de	2
Bonnen, Johannes	2
Boscheron, ...	2
Bothmer, Braun von	2
Botzheim, Johann Bernhard von	2
Botzheim, ...	2
Boullienne, Th. de	2
Brackenhofer, Hans Jacob	2
Brandscheidt, Friedrich von	2
Brandt zu Brandthausen, Wilhelm von	2
Brandt, Friedrich von	2
Brandt zum Stain, Georg von	2
Bredenol, Georg Rembert von	2
Spiegel, Elisabeth	2
Breidtbach, Johann Georg von	2
Breidtbach, Johann Anton von	2
Faulhaber genannt von Wächtersbach, Johann Ludwig	2
Breiden-Landenberg, Martin Joseph von	2
Horrich	2
Brempt, Ferdinand	2
Brenken, Dietrich H. von	2
Broberg, Gotthard von	2
Brockdorff, Bendix (1654-1730)	2
Brockhausen, Balthasar von	2
Brömser von Rüdesheim, Jörg	2
Brömser von Rüdesheim, Hans Melchior	2
Becke, Johann von der	2
Hasenkamp	2
Brummer, Segebade	2
Brunsich von Brun, Heinrich Wilhelm (1699-1787) [vermutlich]	2
Buchholtz, Georg Christian von	2
Bucquoy, Petrus de	2
Bucquoy, Thomas de	2
Bucquoy, Salomon de	2
Bülow, ... [vermutlich]	2
Büren, Reinhardt Johann von	2
Schenckink zu Asbeck	2
Busche, H. A. von dem	2
Bylandt, Roeleman von (1602-) [vermutlich]	2
Cappler von Oedheim, Hans Wolf	2
Cappler von Oedheim, Kordula	2
Cappell, Bernhard Moritz Theodor von	2
Cartier, Louis Joseph de	2
Chrisognee	2
Cloedth, Westhoff	2
Crailsheim, Wolf von	2
Görder, Johann Peter	2
Craislheim, Wolf Ludwig von	2
Crailsheim, Georg Friedrich von	2
Cressenich, Heinrich von	2
Dachenhausen, Ebert Wolf von	2
Dalwigk, F. H. von	2
Dalwigk, F. H. B. von	2
Thannhausen, Margarethe von und zu	2
Thannhausen, Heinrich Konrad von	2
Decken, Bartel Ott von der	2
Degenfeld, Christoph Ferdinand Friedrich von	2
Degenfeld, W. H. von	2
Dettlingen, Hans Caspar von	2
Dettlingen, Meilach von	2
Dhein, Christoph von	2
Dienheim, Maria Amalia von	2
Dienheim, Agnes Elisabetha von	2
Diest, Reinhard Richardt von	2
Driest, ... von	2
Diest, Simeon von (1536-1605)	2
Berchfeld, Franz	2
Berchfeld, Peter	2
Dobeneck, Wilhelm von	2
Dompmartin, Franz zu	2
Doringenberg, Wilhelm von	2
Drachenfels, Rudolph von	2
Driess, Sibert von	2
Drinborn, Catharina von	2
Droste zu Senden, Jost Moritz von	2
Eckhbrecht von Türkheim, Maria	2
Dürnstein, Maria Ursula Maximiliana von	2
Duve, A. E. von [vermutlich]	2
Eisenreich zu Weilbach, Carl	2
Eller, Gerhard von	2
Entringen, Johann von	2
Entzenberg, Hans Rudolph von	2
Entzenberg, Sigmund von	2
Entzenberg, Hans Friedrich von	2
Entzenberg, Hans Balthasar von	2
Entzenberg, Johann Ludwig von	2
Seiblin, Anna Maria	2
Seiblin, Karl [vermutlich]	2
Erfersdorf, Hannibal von	2
Erffa, ...	2
Erthal, Adam Albrecht von (1614-1667)	2
L'Estock, ...	2
Eyll, Dietrich von	2
Eynatten, ...	2
Faldorn, Veit von	2
Falkenberg, Wilhelm Burckhardt von	2
Falckenberg, Margaretha von	2
Falkenberg, Burckhardt von	2
Falkenberg, Johann Heinrich	2
Fauber von Randeck, Wilhelm Ferdinand	2
Faust von Stromberg, Philipp Ludwig	2
Fetzer, Ursula	2
Kaltenthal, Margaretha von	2
Folckeroda, Philipp von	2
Folckeroda, Hans von	2
Forell, Franz Joseph von	2
Fränking, Johann von und zu	2
Franckeshofen, Lorenz von	2
Frauenberg, Hans Georg von	2
Frens, Franz Carl von und zu	2
Fréron, ...	2
Freyburg, Dorothee von	2
Freytag zu Gödens, Franz Ico (-1652)	2
Fridingen, Hug von	2
Reynach, Jacob von	2
Birlin, Hans	2
Frohberg, Louise von	2
Fuchs von Fuchsberg und Jaufenburg, Christoph	2
Fuchs von Dornheim, Veit Hartman	2
Fuchs, Marie Theresia Augusta	2
Furtenbach, Christian Friedrich Karl Wilhelm von	2
Galen, Alexander von	2
Gaugrebe, Georg Friedrich von	2
Gavarette, ...	2
Gavre, Francisca de	2
Gayling von Altheim, Heinrich	2
Geispitzheim, Reichardt von	2
Gemmingen, Lienhard von	2
Landschad zu Steinach, Johann (1537-)	2
Landschad vom Steinach, Christoph (-1585)	2
Neipperg, Reinhard von	2
Gemmingen, Hans Walther von	2
Germingen, Hans von	2
Gerritz von Pilsum, Tyade	2
Gevertzhan, Henrich Alexander von	2
Goldstein, Heinrich	2
Goldstein, Gertrut	2
Reinartz, Kilian	2
Gournay, Philippa de	2
Graeft, Willemsen van de	2
Grambow zu Pinnow, Karsten von	2
Grapendorf, Christoph Hilmar von	2
Gratij, ...	2
Greck von Kochendorf, Johann Philipp [vermutlich]	2
Greck von Kochendorf, Wolf Conrad [vermutlich]	2
Greck von Kochendorf, Johann	2
Greifensee, Franz von	2
Greifenclau von Vollrats, Diether	2
Gretz, Maria von	2
Gressennick, Anna Catherine von	2
Groesbeck, Paul Johannes von	2
Guttenberg, Friedrich Wilhelm von (1565-)	2
Groß von Trockau, Hans Lorenz	2
Groß von Trockau, Wolf Philipp	2
Massbach zu Birenfeld, Philipp Christoph von	2
Altenstein, Seyfried von	2
Grumbach, Carl Christoph von	2
Winter zu Güldenbron, Dorothea Wilhelmina Johanna	2
Winter zu Güldenbron, ...	2
Gülich, Rosina Elisabeth Wilhelmina von	2
Gültingen, Carolina Dorothea Francisca von	2
Gürtler, ... von	2
Güss von Güssenberg, Hans	2
Güss von Güssenberg, Wolf Ernst	2
Hagen, Hans Christoph Gebhard von	2
Hagen, Anna Maria von	2
Hagen, Claus vom	2
Hagen, Philipp von der	2
Hake, Christoph Achatz	2
Hake, F. W.	2
Münchhausen, Christoph Ludwig von	2
Hane, Otto	2
Hane, Werner	2
Hane, Achim	2
Hane zu Basedow, Khun	2
Hanstein, Henrich von	2
Hanstein, Johann Siegfried von	2
Hanstein, Hans von	2
Hanstein, Christian von	2
Hanstein, Caspar Georg von	2
Hanstein, Hans Friedrich von	2
Hanxler, Rembert von	2
Hardenberg, Dietrich von	2
Harff, Anton	2
Harff, Willem von	2
Harff, Philipp Wilhelm von	2
Harrant, ...	2
Hasenburg, Hans Philipp von	2
Hassbergen, Albrecht von	2
Hassbergen, Walter von	2
Hassbergen, Michael von	2
Rinderbach, Georg von	2
Hattenbach, Karl von	2
Graenrod, Melchior von	2
Hattstein, Hans Philipp von	2
Hauben, Johann Kaspar von der (-1662)	2
Haun, Wilhelm Rudolph von	2
Hausman von Namedy, Adolph	2
Hausman von Namedy, Johann Ludwig	2
Hedesdorf, ...	2
Holdinghausen, Eberhard von	2
Hees, Hans Georg von der	2
Heigen, Caspar von	2
Heimburg, Johann Friedrich von	2
Heistermann von Zielberg, Anna Margareta	2
Helmstatt, Johann Conrad von (-1677)	2
Handschuchsheim, Johann von	2
Hermelin, J. G. von	2
Hersberg, Ferdinand von	2
Hersberg, Burkhard von	2
Eyb zu Dörzbach, Veit Dietrich von	2
Hessberg, Georg Philipp von	2
Martin, Johann	2
Lichtenstein, Erhardt von	2
Heyden, Moritz von	2
Heyden, Georg Th. von	2
Marquard, Gotthard Johann (1645-1710) [vermutlich]	2
Hylst, Johann van	2
Witzleben, Friedrich Heinrich von	2
Witzleben, Jobst Wilhelm von	2
Hirschhorn, Maria von	2
Hohenberg, Hans von	2
Hochstetten, Johann Michael von	2
Höhenkircher, Wolf Sebastian von	2
Hörde, Albert von	2
Hörmann von und zu Guttenberg, Ludwig	2
Hörmann von und zu Guttenberg, Daniel	2
Schorer, Veronica	2
Waiblinger, Judith	2
Geizkofler, Catharina	2
Hoff, Hermann Heinrich von	2
Höger, Wolf	2
Brenner, Hans	2
Holle, Johann von	2
Holtrop, Johann Gerhard von	2
Honstedt, Georg von	2
Horneck von Weinheim, Johann Philipp	2
Hoorn, Renatus van	2
Hornstein genannt Hertenstein, Johann Jörg von	2
Hornstein zu Grüningen, Jacob Ernst von (1511-1580)	2
Hornstein zu Zollenreute, Balthasar von	2
Honwerda, Egher	2
Kastner, Elias	2
Hundbiss von Waltram, Johann Konrad	2
Biss von Bissenberg, Georg Hans	2
Hund von Saulheim, Adolph	2
Hund von Saulheim, ...	2
Hund zu Wenckheim, Hans Philipp	2
Hund von Wenkheim, Curd Bernhard	2
Hund von Wenkheim, Christoph Wolf [vermutlich]	2
Hund von Wenkheim, Wolf	2
Hund von Wenkheim, Werner	2
Utterodt, Andreas Friedrich von	2
Herda, Christoph von	2
Hutten, Hans Friedrich von	2
Hutten, Bernhard Friedrich von	2
Hutten, Hans Philipp von	2
Hintzenhauser zu Hintzenhausen, Benedict	2
Ichtersheim, Marie Louise von	2
Ilten, Dietrich von	2
Ilten, Justus Philip Antonius von (1718-1778) [vermutlich]	2
Hake, ... [vermutlich]	2
Thill zu Gerlach, Goerg von	2
Burcher, Johann Michael	2
Reitlinger, Fidelius Constantin	2
Im Hof, Helena	2
Jöstl von und zu Jöstlberg, Moritz	2
Jöstelsberg, Philipp Johann von	2
Irmtraut, Hans Andreas von	2
Irmtraut, Hans Otto von (-1631)	2
Irmtraut, Catharina von	2
Irmtraut, Anna Elisabeth von	2
Kageneck, Johann Friedrich von (1560-1608)	2
Kamptz zu Godow, Hans Joachim	2
Kamptz, Levin	2
Drakow, Johann Babtzin zu	2
Kamptz, Eggert	2
Trutman, Magnus	2
Kamptz, Franz	2
Kamptz, Jürgen	2
Kamptz, Reichardt	2
Kannenberg, Friedrich Wilhelm von (-1714)	2
Kanstein, Margarethe von	2
Kanstein, Lippolt von	2
Kanstein, Philipp von	2
Steier, Georg	2
Rennenberg, Cornelia von (-1573)	2
Ketzgen, Eberhard Franz von	2
Klein, Madelon von	2
Hobe, Antoinette von	2
Berg, Lisette von	2
Born, Henriette von	2
Holsten, Christ. Joachim	2
Kleingedanck, Caspar von	2
Kleingedanck, Elisabeth von	2
Brentzlin, Johann	2
Klingelbach, Johann von	2
Bürenheide, Joachim	2
Knigge, Georg Ernst von (1651-1705)	2
Knigge, Christoph	2
Knoblauch von Hatzbach, Hermann	2
Torney, Peter	2
Koeth von Wanscheid, Georg	2
Kötschau, Adam Reinhard von	2
Kötschau, Adam Hermann von (1646-1707)	2
Kornburg, Philipp Rieter von	2
Koseritz, Johanna Ludomilla von	2
Kotzau, Georg Wilhelm von	2
Kramme, Gottfried von	2
Spreter von Kreudenstein, Johann Philipp	2
Oienhausen, Hilmar von	2
Kröpelin, Otto	2
Kropff, Johann	2
Kropff, Wiprecht	2
Kropff, Heinrich Julius	2
Krosigk, ...	2
Krümmel, Margareta	2
Rietheim, Conrad von	2
Landeck, Hans Heinrich von	2
Landenberg, Christoph von	2
Landenberg, Wilhelm Peter von	2
Landsberg, Marzolf Reichard von	2
Landsberg, Pankraz von	2
Landsberg, Friedrich von	2
Landsberg, Arnold Friedrich von	2
Landsberg, Arnold von	2
Landschad von Steinach, Wolf Cuno	2
Landschad von Steinach, Philipp Bernhard	2
Larttern, Johannes von der	2
Lannoy, Adrianus Gerardus de	2
Lattorf, Sigismund von	2
Lattorf, Ernst von	2
Lattorf, Matthias von	2
Lattorff, Friedrich Wilhelm August von	2
Laubenberg, Andreas von	2
Laubenberg, Hans Joachim von	2
Lautter, Philipp von	2
Lautter, Johann von	2
Dinklage, Magdalena von	2
Nagel, Lüdecke	2
Korff, Benedikt	2
Kattmann, Johann	2
Lenfant, Joannes	2
Lenfant, Renee	2
Lenfant, Marie	2
Lenfant, Suzanne	2
Lenfant, Judith	2
Lentersheim, Georg Wilhelm von [vermutlich]	2
Lentersheim, Erhardt von	2
Leonrodt, Philipp von	2
Leoprechting, Bernardina von	2
Leurwaldt, Conrad	2
Leurwaldt, Anton	2
Ley, Johannes Conrad Franz von	2
Leyen, Johann Meinhard von der	2
Leyen, Adolph Friedrich von	2
Leyen, Emmerich von	2
Lichtenstein, Christoph von	2
Lichtenstein, Wilhelm von	2
Liebenstein, Philipp von	2
Liebenstein, Bernhardt von	2
Liebenstein, Philipp Conrad von	2
Liebstorff, Wilhelm von	2
Liedekerke, Jacques Ignace de (1725-1807)	2
Liedekerke, Jacques Ignace de (1738-1781)	2
Ligertz, Carl von	2
Ligniville, ...	2
Ligniville, Leopold de	2
Lillienburg, ...	2
Limbergen, Ottilia von	2
Winsemius, Andreas	2
Limburg, ...	2
Lindenau, Wolf von	2
Mertens, Martin	2
Bueswurm, Martin	2
Lipperheide, Dietrich	2
Lipperheide zum Stein, Caspar	2
Schall zu Goltschending, Georg	2
Lösch von Mühlheim, Hans Philipp	2
Löw von Laufenberg, Jost	2
Löw zu Steinfurt, Georg (1560-1612)	2
Löw, C. von	2
Alben genannt von Sulzbach, Georg	2
Löwenstein, Bernhard von	2
Longchamp, ...	2
Lontzen genannt Roben, Johann Ludwig von	2
Lutter, Erhard Georg von	2
Lühe, S. von der	2
Lüninck, Paul Franz von	2
Lüschwitz, Albrecht Gerhard von	2
Lüttichau, Catharina von	2
Kokeritz, Konrad von	2
Schönberg, Heinrich von	2
Lüttichau, Nickel von [vermutlich]	2
Kokeritz, Hans von	2
Lüttichau, Nickel von	2
Lüttichau, Georg von	2
Lützelburg, Walter von	2
Lützow, Paul Heinrich von	2
Köpren zu Rossin, Melchior	2
Nahrmann zu Tribratz, Andreas	2
Kahlden, Henning von	2
Barold zu Dünninghausen, Adam	2
Lüskow, Joachim	2
Lüskow, Tonnies	2
Lützenrode, J. F. von	2
Madonville, Olivier de	2
Märcker, Johann von	2
Maere, Marie de	2
Mandelsloh, Christian Dietrich Ulrich von	2
Mandelsloh, Johann Ludwig von	2
Mangold von Ravensburg, Christoph	2
Schnell, Marten	2
Marenholtz, Curt von	2
Marck, Aleff von der	2
Marck, ... von der	2
Wenge, Dietrich von der	2
Hillebrinck, Dietrich	2
Marckart zu Ansbach, ...	2
Rineck, Matthias	2
Marquardt, Johann Gotthardt von	2
