wert	haeufigkeit
Fest des deutschen Volkstanzes (5,1960, Rudolstadt)	21
Zwiespruchverlag	21
Universität (Göttingen)/ Physikalisches Institut	21
Verlagsbuchhandlung Leopold Voss (Hamburg, Leipzig)	21
Baden (Grossherzogtum) / Ministerium der Justiz, des Kultus und Unterrichts	21
Redaktion Taz (Berlin)	21
Gotha Druck Verpackung GmbH	21
KulturKontor Walter Palm	21
Ibero-Amerikanischer Verein (Hamburg)	21
Gesellschaft für Deutsches Schrifttum	21
Lexikon des gesamten Buchwesens	21
Internationale Graphische Ausstellung (1903-1904, Hamburg)	21
Museum der Gegenwart (Berlin)	21
Commerzbank (Hamburg)	21
Kriegsministerium (Berlin)	21
Deutsche Musiksammlung bei der Königlichen Bibliothek, Berlin	21
Die Insel (München)	21
Auswärtiges Amt / Kulturabteilung	21
Park-Hotel (Lugano)	21
Druckhaus neue presse coburg	21
Binderei Fleischmann	21
Nagel Fototype GmbH	21
Deutschen Volksrat (DDR)	21
Longmans, Green & Co. Verlag (London)	21
Meyer & Jessen Verlag (München)	21
Dott. A. Giuffre Editore (Mailand)	21
Handwörterbuch der Sozialwissenschaften / Redaktion	21
Joachim Jungius-Gesellschaft der Wissenschaften (Hamburg)	21
Darton, Longman & Todd Limited (London)	21
S.A. Steiner und Comp. (Wien)	21
Drei Masken Verlag	21
Bank für Gemeinwirtschaft (BfG) Berlin	21
Oldenburg, Rudolf Verlag	21
Buchhandlung Vieweg (Braunschweig) (1799-) [vermutlich]	21
Hans-Martin Majewski Filmorchester	21
Königliches Oberhofbau-und Gartendepartement (Hannover)	21
Hotel Regina (Genf)	21
Schöppenstuhl (Jena)	21
Herzogliches Hofmarschallamt Meiningen	21
Friedrich Jasper Rund- und Gesellschaftsfahrten GmbH	21
Ammann Verlag (Zürich)	21
Bagel Verlag	21
Düsseldorfer Schauspielhaus / Ordnungsausschuss (1951-)	21
Philosophische Studien (Zeitschrift) (1883-1902) [ermittelt]	21
Bürgerrat (München)	21
Der neue Tag - Oberpfälzischer Kurier (Weiden)	21
Österreichischer Rundfunk - Radio Klagenfurt	21
Neue Zürcher Zeitung	20
L. Staackmann (Leipzig)	20
Redaktion Quick (München)	20
Redaktion Badische Zeitung (Freiburg)	20
Münchner Verlag	20
Verlag der Christlichen Welt (Marburg, Hessen)	20
Rheinische Missionsgesellschaft (Barmen) (1828-1971)	20
Deutsche Rundschau / Redaktion (Berlin)	20
Neue Rundschau	20
Redaktion Hannoversche Allgemeine Zeitung	20
Der Türmer (Weimar) / Schriftleitung	20
Augsburger Postzeitung	20
Bonn / Oberbürgermeister	20
Amtsgericht (Dresden)	20
Argentinisches Tageblatt (Buenos Aires)	20
Yaddo (Saratoga Springs, N.Y.)	20
Kantorowicz, M. (Bühnenvertrieb)	20
Urania, Gesellschaft zur Verbreitung Wissenschaftlicher Kenntnisse (Berlin, Ost)	20
Universität (Leipzig) / Sektion Geschichte	20
The Times (Zeitung)	20
Deutsche Lufthansa	20
Rat für Gegenseitige Wirtschaftshilfe / Ständige Kommission für Zusammenarbeit auf dem Gebiet der Statistik / Delegation der Deutschen Demokratischen Republik	20
Sozialdemokratische Partei Deutschlands / Parteivorstand	20
Buchhändlerkeller (Berlin)	20
Illustrierte Funkwoche	20
Gewandhaus (Leipzig)	20
Kulturbund (DDR)	20
Internationale Gartenbau-Ausstellung III. (1907,Dresden) / Kommission	20
Bühnenvolksbundverlag (Berlin)	20
Voß u. Co Buchhandlung (Leipzig)	20
Allgemeine Literatur-Zeitung (1803-1849)	20
Deutsche Dichter-Gedächtnis-Stiftung (Hamburg)	20
Staatliche Museen zu Berlin / Generaldirektion	20
Sächsische Zeitung	20
Hauptstaatsarchiv (Dresden)	20
Friedrich Wilhelm Amburger und Co. Bankgeschäft (Sankt Petersburg)	20
Deutsche Presse-Korrespondenz (Zeitungskorrespondenz)	20
Redaktion Theater heute (Hannover)	20
Sveriges Radio	20
Bezirksarbeitsgemeinschaft Bühnentanz (1954-)	20
Ständiges Büro der Tanzfeste Rudolstadt	20
Stiftung für deutsche Volks- und Kulturbodenforschung (Leipzig) (1923/1926 [Umbenennung]-)	20
C. Bertelsmann Verlagbuchhandlung (Gütersloh)	20
Administration Centrale du Pays d'entre Meuse et Rhin	20
Frankfurter Rundschau (Zeitung)	20
Wirtschaftsgeographisches Institut (Köln)	20
Geisenheyner & Crone	20
Fernsehen der DDR (Berlin,Ost) / Studio Dresden	20
Justizkanzlei (Hannover)	20
Städtische Bühnen (Freiburg, Breisgau)	20
World Dance Congress (1993 : San Francicso)	20
Columbia University (New York, NY) / Deutsches Haus (1911-)	20
Notgemeinschaft der deutschen Wissenschaft (Bad Godesberg) (1949-)	20
Städtisches Theater (Mainz)	20
Regenkreis / Kammer des Innern (1817-1837)	20
Knauth, Nachod & Kühne (1852-1945)	20
Kunstgesellschaft (Hamburg)	20
Nobelpreis-Komitee (Stockholm)	20
Musikbibliothek Peters (Leipzig)	20
Königliche Akademie der Künste	20
Redaktion Die Zeit (Wien)	20
Konzertbureau Emil Gutmann (München)	20
Redaktion Der Kunstwart (Dresden)	20
Redaktion Schweinfurter Tagblatt	20
Redaktion Buchmarkt (Düsseldorf)	20
Versammlung deutscher Naturforscher und Ärzte (1828, Berlin)	20
Schauspielhaus (Bochum)	20
Zinnen-Verlag (München)	20
Harvard International Seminar	20
Kösel GmbH & Co. KG	20
Gesamtverband der christlichen Gewerkschaften Deutschlands	20
Verlag der Autoren (Frankfurt, Main)	20
Internationale Literatur	20
Allerheiligen Institut (Breslau)	20
Zeitschrift für Psychologie und Physiologie der Sinnesorgane (Zeitschrift) (1890-1906)	20
Hamburger Gesellschaft für Filmkunde	20
Arche Verlag	20
sonnenblau ) vision+verlag	20
Frankfurter Bürgerverein	20
Helmut Zacharias und Sein Orchester	20
Zentralblatt für Mathematik und ihre Grenzgebiete (Körperschaft)	20
Redaktion März (München)	20
Bayern / Zur Aufsicht der Promenaden und Anlagen Angeordnete Kommission	20
Schöffenstuhl (Leipzig)	20
August (Sachsen, Kurfürst) / Visitatoren (1573)	20
Oberösterreichische Nachrichten (Linz)	20
Seaview Hotel (1867-)	20
Antiquariat Kurt Pinzke (Berlin)	20
East Kent Maidstone & District National bus companies	20
Günter-Grass-Haus (Lübeck)	20
Greving-Meyer-Bühnenvermittlung (München)	20
FAZ	20
Bürgerbund (München)	20
Lewent´sche Buchdruckerei	20
Academy and College of Philadelphia (Philadelphia, Pa.)	20
Female Asylum (Vepery)	20
Arabisch-deutsches Symposium 'Literarische Übersetzung' (1985) (1985/1985-1985)	20
FILM KONTROVERS im Literarischen Colloquium Berlin	20
Theaterverein Bizau	19
Redaktion Münchner Illustrierte	19
Verlag J. H. W. Dietz Nachf. (Berlin)	19
C. F. Wintersche Verlagshandlung (Leipzig) (1822-)	19
Deutscher Ausschuss für Glaube und Verfassung der Kirchen (Lausanne)	19
Berliner Lokal-Anzeiger	19
Verlag Merseburger Berlin GmbH	19
Rupert-Verlag (Leipzig) (1939-1953)	19
The Rockefeller Foundation	19
Internationaal Literatuur Bureau (Hilversum)	19
Montrealer Nachrichten	19
Francke-Verlag (Bern)	19
Editors International (Barcelona u.a)	19
Hicem (Marseille)	19
Deutschland (Bundesrepublik)/ Bundespräsident	19
Unitarian Service Committee (Boston, Mass.)	19
United States/Consulate (Marseille)	19
Frankfurter Nachrichten und Intelligenzblatt (Zeitung) (1910-1934)	19
Deutsche Woche / Redaktion (Berlin)	19
Magyar Tudományos Akadémia (Budapest)	19
Das Volk / Redaktion (Erfurt)	19
Volkskunstverlag (Reichenbach)	19
Jeanneret & Baumann (Jeanneret frères)	19
Redaktion Deutschlands Stimme (Berlin)	19
Städtische Kunstsammlung (Karl-Marx-Stadt) / Graphik-Kabinett	19
Leipzig, Verlagsdruckerei	19
DEFA	19
National-Zeitung / Redaktion (Berlin, Ost)	19
Tiedgestiftung (Dresden)	19
Staatsgalerie (Stuttgart)	19
Buchhandlung Heinrichshofen (Magdeburg)	19
Commission Philhellènique	19
Konzert-Direktion Hermann Wolff und Jules Sachs (Berlin)	19
Universität (Leipzig) / Königliches Rentamt (1825-)	19
Düsseldorfer Nachrichten (Zeitung) (1918-1972)	19
Deutschland (Deutsches Reich) / Armeekorps (13) / Stellvertretendes Generalkommando	19
Humboldt, Revista para el mundo ibéroco (Zeitschrift für die iberische Welt)	19
Universität (Heidelberg) / Akademisches Direktorium	19
Baden (Grossherzogtum) / Staatsministerium	19
Baden / Geheimes Kabinett	19
Mannheim / Oberbürgermeister	19
Deutsches Institut für Normung / Referat Klassifikationssysteme	19
Kurt Schroeder Verlag (Köln)	19
Volkskunstkabinett (Dresden, Land)	19
Verlagsbuchhandlung F. C. W. Vogel (Leipzig)	19
Theater-Agentur Alexander Selo (Berlin)	19
Verein für Volkskunde Berlin	19
Verlag Kurt Desch (München)	19
Der Präsident des Landesbezirks Baden (Karlsruhe) / Abteilung Kultus u. Unterricht (1945-)	19
Neuer Filser-Verlag (München)	19
Ausschuß für Ur- und Frühgeschichte Badens (1922-)	19
Städtische Kunst- und Altertümersammlung (Heidelberg) (1908-)	19
Hannover / Oberhofmarschallamt	19
Verlag Gebr. Carl & Nicolaus Benziger	19
Kölnische Volkszeitung (Zeitung) (-1941)	19
Verlagsbuchhandlung Fritz Heyder (Berlin)	19
Superintendentur (Berlin)	19
Universität (Bonn) / Kurator	19
Christliche Welt (Redaktion)	19
The Physiological Laboratory University of Cambridge	19
Lachenmaier GmbH (1872-)	19
Claassen Verlag	19
Redaktion Die Woche (Berlin)	19
Württemberg / Güterstelle (Tübingen)	19
Redaktion Insel (München)	19
J. Bielefelds Verlag (Karlsruhe)	19
Desclée de Brouwer & Cie. (Paris)	19
Württemberg / Hauptzollamt (Ulm)	19
Redaktion Zeitwende (München)	19
Verlag Aguilar S.A. de Ediciones	19
Les Editions du Cerf (Paris)	19
Mendelssohn & Fraenckel (Berlin)	19
Österreichischer Bühnenverlag Kaiser & Co.	19
Die Neue Gesellschaft e.V. (1954-)	19
Institut für Rechtsmedizin der FU Berlin	19
Zentraler Arbeitsausschuss der Studienstiftung des Deutschen Volkes	19
Städtische Bühnen (Köln)	19
Filmförderungsanstalt	19
Redaktion Hannoversche Presse (Hannover)	19
Deutsches Nationales Komitee für IUPAP (1952-) [vermutlich]	19
BILD [vermutlich]	19
Gazeta Wyborcza (1989-)	19
Thaning & Appels Forlag	19
Volksheil, Kranken- und Unterstützerkasse, Sitz Berlin	19
Finanzamt Schöneberg	19
Fürstlich Schaumburg-Lippisches Hofmarschall-Amt (Bückeburg)	19
Terra Filmkunst (Babelsberg)	19
Schauspielhaus Düsseldorf / Direktionsvertretung (1904-1933)	19
Z. Köhler's Wwe. & Sohn Chemische Fabrik (Leipzig-Plagwitz)	19
Librería Litúrgica (Valencia)	19
Vereinigung Heidelberger Studenten, Friesenberg	19
Ein Gedicht und sein Autor (2. : Berlin)	19
Schwäbische Zeitung	18
die graugans (Redaktion)	18
Sekretariat H. Courths-Mahler [ermittelt]	18
Verband deutscher Filmautoren	18
Verband deutscher Bühnenschriftsteller	18
Der Sturm (Berlin)	18
Köselsche Verlagsbuchhandlung (München)	18
Amtsgericht (München)	18
Fleischer, Ernst (Verlagsfirma)	18
Arbeiter-Zeitung (Wien)	18
Goethe House (New York, N.Y.)	18
pardon. Die deutsche satirische Monatsschrift (Zeitschrift)	18
PEN-Club PEN-Zentrum deutschsprachiger Autoren im Ausland	18
Humanistische Union	18
Sachsen / Hochbauamt	18
GEMA	18
Sozialistische Einheitspartei Deutschlands / Bezirksleitung (Berlin, Ost)	18
Junge Welt (Berlin) / Zeitung	18
Georg Witt-Film (München)	18
Berliner Vereinigung Ehemaliger Teilnehmer am Antifaschistischen Widerstand, Verfolgter des Naziregimes und Hinterbliebener	18
Ökonomisches Forschungsinstitut (Berlin, Ost)	18
Nationale Pugwash-Gruppe der DDR	18
Staatliche Hochschule für Musik (Berlin)	18
Die Grenzboten (Zeitschrift) (1841-1922)	18
Redaktion Münchener Zeitung	18
Die Gesellschaft	18
Deutschland (DDR) / Ministerium für Kultur / Minister	18
F. J. Probst (Mainz)	18
Berliner Palette	18
Die Zeit (Zeitung) (1902-1919)	18
DDR/ Ministerrat	18
FDGB / Gewerkschaft 17 / Sparte Kunst und Schriftthum / Landesleitung Sachsen (Dresden)	18
Buchhandlung Friedrich Wilmans (Frankfurt am Main)	18
Sachsen / Königlich-sächsisches Kultusministerium (Dresden)	18
Regenkreis / Generalcommissariat	18
Höckner`sche Buchhandlung (Dresden)	18
Amtsgericht (Leipzig)	18
Langenscheidt-Verlag (Berlin)	18
Postscheckamt (Berlin)	18
Webers Illustrierte Zeitung / Redaktion (Leipzig)	18
Schlossbibliothek (Hainewalde)	18
Aufbau-Bühnen-Vertrieb GmbH (Berlin)	18
Allgemeines statistisches Archiv (Zeitschrift) (1890-2006)	18
Universität (Frankfurt, Main) / Kuratorium	18
Rothschild-Bibliothek (Frankfurt a. M.) (1887-1933)	18
Redaktion Bayerische Staatszeitung (München)	18
Weser-Kurier (Bremen)	18
Bühnen der Landeshauptstadt (Kiel)	18
Orlando Filmproduktion G.m.b.H. (München)	18
Allgemeine Musikalische Zeitung (Leipzig)	18
Zentralarchiv für deutsche Landeskunde	18
Radio-Genossenschaft Zürich	18
Schule Hellerau (Laxenburg)	18
Schweizerisches Konsulat (Stuttgart)	18
Berufsvereinigung deutscher Vorgeschichtsforscher (1921/1933-)	18
Bühnenvermittlung Alois Starka (Wien)	18
Meijer & Jessen Verlag (Berlin)	18
Schulkirche (Halle, Saale)	18
The Gypsy Lore Society	18
Deutsche Dichterhalle (Leipzig)	18
Philharmonischer Chor (Berlin)	18
PEN Club (Deutsche Gruppe)	18
Deutsches Friedenskomitee (Berlin)	18
Waisenhaus (Esens)	18
Deutsche Evangelische Kirche/ Kirchliches Außenamt (Berlin)	18
KZ-Gedenkstätte (Flossenbürg)	18
Burgtheater, Direktion (Wien)	18
Lindemann & Schulz Kunst- und Reproduktions-Anstalt (Berlin)	18
Klingspor, Gebrüder	18
Redaktion Rheinische Post (Düsseldorf)	18
Drei-Säulen-Verlag	18
Der Bogen / Redaktion (Wiesbaden)	18
Verwaltungsamt	18
Württemberg / Amtsgericht (Tübingen)	18
Universität (Tübingen) / Evangelisch-Theologische Fakultät	18
H. Goverts Verlag (Hamburg)	18
Henry Regnery Company	18
Verlag J. P. Peter, Gebrüder Holstein (Rothenburg ob d. Tauber)	18
Die Einheit der Gesellschaftswissenschaften (Schriftenreihe)	18
The World Publishing Company (Cleveland, Ohio)	18
Crete University Press	18
Darmstadt, Landestheater	18
Präsident Berlin	18
Hotel Kleber-Post	18
Senat für Wissenschaft und Kunst (Berlin)	18
Buchhandlung Karl Fleckeisen (Braunschweig)	18
Universität Bonn -1818-	18
Dino Barozzi (Venezia)	18
Kristall (Hamburg) / Redaktion (1946-1966)	18
Deutsche Forschungshochschule (1947-1953)	18
Scherz Verlag (Stuttgart)	18
Sveučilište u Zagrebu. Institut teorijske fizike	18
Missionsgesellschaft (Berlin)	18
Schauspielhaus Düsseldorf / Sekretariat (1904-1932)	18
Esslinger'sche Buchhandlung Frankfurt a. M.	18
Der Abend (Zeitung, Berlin)	18
Radio Bremen	18
Papier Graf Buchbinderei, Buchdruckerei (Berlin)	18
Documents (Zeitschrift)	18
Günther Neske-Verlag (Pfullingen)	18
Weltstimmen Zeitschrift (1927-1958)	18
Deutsches Archäologisches Institut (Berlin) / Abteilung (Bagdad)	18
Düsseldorfer Nachrichten / Redaktion	18
Dortmunder Konzertbüro E. Berry	18
Verlag Neue Deutsche Hefte (Berlin)	18
Redaktion Der Fährmann (Freiburg)	18
A. Stiffel (München)	18
Atelier Fuld (München)	18
Joelsohn & Brünn	18
N. Reichenheim und Sohn	18
Hinrich van der Smissen Söhne (Altona)	18
Claire S. Degener. The Sterling Lord Agency Dramatic Department	18
Bundesverband der Deutschen Industrie / Kulturkreis	18
Hanseatische Verlagsanstalt	17
Kulturstiftung der Deutschen Vertriebenen	17
Europe of Regions	17
Die Neue Zeitung (Die Amerikanische Zeitung in Deutschland). Redaktion (1947-1955)	17
Badische Neueste Nachrichten (Zeitung, Karlsruhe)	17
Gesellschaft der Bibliophilen	17
Die Post (Zeitung) (1866-1921)	17
Frankfurter General-Anzeiger	17
Ministerium für Kultur. Hauptabteilung Darstellende Kunst	17
Deutscher Musikalien-Verleger-Verein (Leipzig)	17
The Atlantic Monthly	17
Kürbiskern / Redaktion (München)	17
Martin Secker & Warburg Ltd., London	17
Volkstheater (Wien)	17
Goethe-Institut (München)	17
Münchner Stadtbibliothek / Literaturarchiv	17
Winter, Carl Universitätsverlag (Heidelberg)	17
Welt der Arbeit (Zeitung)	17
Bau und Grund Gmbh (Dresden)	17
Philographischer Verlag (Basel)	17
Kunstgalerie (Gera)	17
Sozialistische Einheitspartei Deutschlands / Zentralkomitee / Abteilung Wissenschaft und Propaganda (Berlin, Ost)	17
Forum / Redaktion (Berlin)	17
Freie Presse / Redaktion (Karl-Marx-Stadt)	17
Schweriner Volkszeitung / Redaktion	17
Sozialhilfe Groß-Berlin	17
Stern / Redaktion (Hamburg)	17
Schriftstellerverband der DDR / Revisionskommission	17
SED / Bezirksleitung (Halle/Saale)	17
DDR / Kulturfond (Berlin)	17
Fulde und Schuberth (Schneeberg)	17
"""Heute und morgen"""	17
Die Tat / Monatschrift (Berlin-Steglitz)	17
Versandantiquariat Michael Trache	17
Verlag Volk und Bild (Leipzig)	17
Förderungsausschuß für die deutsche Intelligenz beim Ministerrat. Landesstelle Dresden	17
Augsburger Allgemeine Zeitung (Augsburg)	17
Antiquariat List & Francke (Leipzig)	17
Geographische Zeitschrift (1895-)	17
Euphorion (Zeitschrift für Literaturgeschichte)	17
Neue Musik-Zeitung	17
Niedersächsisches Landesmuseum (Hannover) (1856/1950-)	17
Akademischer Rat (Dresden)	17
Germanisches Museum, Nürnberg	17
Neumärkische Regierung und Consistorium in Küstrin	17
Reichsstelle für das Auswanderungswesen (Berlin) / Beirat für das Auswanderungswesen	17
Verein der Buchhändler (Leipzig) (1832-)	17
Das Handelsmuseum (Zeitschrift) (1886-)	17
Redaktion Kölnische Rundschau (Köln)	17
Zeitschrift für die Geschichte des Oberrheins (Karlsruhe) (1850-)	17
Wirtschaftliche Vereinigung deutscher Buchhändler (Leipzig)	17
Deutsche Allgemeine Zeitung (Leipzig)	17
Lofft (1997-)	17
Tanzfest der DDR (5, 1969, Rudolstadt) (1969-)	17
Mount Wilson Solar Observatory, Carnegie Institute of Washington	17
Librairie Payot & Cie. (Lausanne)	17
Rheinische Creditbank (Mannheim) / Filiale Heidelberg	17
"Forschungskreis ""Der neue Weg zur Schrift"" (Wurzelschrift)"	17
F. Ullmann Graphische Kunstanstalt (Zwickau)	17
Hessisches Landestheater (Darmstadt)	17
International Geographical Union / Commission on National and Regional Atlases	17
Akademie der Wissenschaften der DDR (Berlin, Ost) / Klasse Mensch und Umwelt	17
Berliner Illustrirte Zeitung (1892-1945)	17
Staatliche Versicherung/ Kreisdirektion (Dresden, Land)	17
Deutsche Künstler Agentur GmbH (Berlin)	17
Teatro alla Scala (Mailand)	17
Wissenschaftliche Editionsgesellschaft (Berlin)	17
Magistrat (Essen)	17
Stadttheater (Koblenz)	17
Dance of the World (1996 : Warschau)	17
Musikalienhandlung Eugen Pfeiffer (Heidelberg)	17
International Congress for Papyrologists (6, 1949, Paris)	17
Scherer Verlag	17
Deutsches Bildungswesen (München) (1933-)	17
Reisebüro Thos. Cook & Son (Hamburg)	17
Braunschweig-Lüneburg / Geheime Räte	17
Urban und Schwarzenberg Verlagsbuchhandlung (Berlin)	17
Verlagsbuchhandlung Friedrich Wilhelm (Leipzig)	17
Mylius, F. G.	17
Evoe (Zeitschrift)	17
Hof Capelle zu Meiningen	17
Die Lese	17
Rudhardsche Gießerei (Offenbach)	17
Reichs-Rundfunk	17
Botanischer Garten (Petersburg)	17
Schreiberhau / Bürgermeister	17
University (Chicago, Ill.) / The American Journal of Theology	17
Protestantenblatt (Zeitschrift)	17
Società Editrice Il Mulino  Verlag (Bologna)	17
Tübinger Rechtswissenschaftliche Abhandlungen (Sammelwerk)	17
Institut für Genossenschaftswesen (Münster, Westfalen)	17
Paideia Editrice (Brescia)	17
Pragokoncert (Praha)	17
Abteilung für Musik	17
Literaturarchiv Saar-Lor-Lux-Elsass	17
Gesellschaft für Musikalische Aufführungs- und Mechanische Vervielfältigungsrechte	17
Editions Planète (Paris)	17
Dictionary of Scientific Biography	17
Messe und Ausstellungs-GmbH (Frankfurt a.M.)	17
Die Naturwissenschaften. Redaktion (Göttingen)	17
"Redaktion der ""Bastei"" (Wien)"	17
University of California (Berkeley, Calif.) / Department of Anthropoligy	17
Studio für Neue Musik (1969-)	17
Dortmunder Gruppe 61 (1961-1972)	17
Spectaculum (Zeitschrift)	17
Publik (Frankfurt, Main)	17
East Kent Maidstone & District National bus companies [vermutlich]	17
Kölnische Volkszeitung und Handelsblatt Redaktion	17
Aphaia Verlag (Berlin)	17
Tworczosc (Warszawa)	17
Vereins-Lazarett vom Roten Kreuz (Sterkrade)	17
Katholisches Arbeitersekretariat	17
Die Wochenschau (Zeitschrift)	17
Düsseldorfer Schauspielhaus / Jugendforum (1951-)	17
S. Friedeberg Söhne	17
Hamburger Spezialverein des Vereins für Cultur und Wissenschaft der Juden	17
Eisenstuck & Co. (Annaberg, Erzgebirge)	17
Klett Verlag	17
Rowohlt	17
Die Furche (Zeitschrift) (1945-)	16
Verlagsanstalt Tyrolia (Innsbruck)	16
Bergakademie (Freiberg)/Industrie-Institut	16
Reichsrundfunk Reichssender Königsberg	16
Reichsrundfunk Reichssender Leipzig	16
Georg-August-Universität Göttingen. Rektorat	16
Kaiser-Friedrich-Museum (Berlin)	16
Argus Nachrichten-Bureau (Berlin)	16
Fritz Oltersdorf Kirchenmusikverlag (Hameln, Weser)	16
Münchner Buchverlag	16
Die Welt der Literatur (Zeitung)	16
Verlag Hesse & Becker (Leipzig)	16
Sturm & Koppe Theatergeschäftsbüro (Leipzig)	16
Ministerium für Kultur (Berlin)	16
League of American Writers	16
National Council of Jewish Women/New York Section	16
Orient	16
New School for Social Research	16
United States/ Consulate (Marseille)	16
Comité International pour le Placement des Intellectuels Réfugiés (Genf)	16
Die Andere Zeitung	16
Allgemeine Wochenzeitung der Juden in Deutschland (Düsseldorf)	16
Deutsches Theater (Prag)	16
Büchergilde Gutenberg (Frankfurt, Main)	16
Elwert und Meurer Buchhandlung	16
Volksbildungswerk (Gelsenkirchen)	16
Bechtle Verlag	16
The Sunday Times (London) (1821-)	16
Eulenspiegel / Zeitschrift (Berlin)	16
Reichspostdirektion (Chemnitz)	16
Dresden / Standesamt	16
Deutsche Zeitschrift für Philosophie / Redaktion (Berlin, Ost)	16
Kommune I (1967-1969)	16
Für Dich / Redaktion (Berlin, Ost)	16
Die Freie Gewerkschaft / Verlagsgesellschaft (Berlin)	16
Freie Welt / Redaktion (Berlin, Ost)	16
Landeshauptstadt (München)	16
Akademie der Wissenschaften der DDR / Wissenschaftlicher Rat für Publikationswesen	16
Pugwash Symposium (13, 1971, Frascati)	16
Buchhandlung Walter G. Mühlau (Kiel)	16
Die Neue Zeit (Zeitschrift) (1883-1923)	16
Die Frau von heute (Berlin)	16
Oberlausitzer Kunsthandlung (Görlitz)	16
Deutschland (DDR) / Ministerium für Kultur / HA Bildende Kunst	16
Stadttheater (Zwickau)	16
Deutschland (DDR) / Ministerium für Kultur / Abteilung Kulturelle Beziehungen mit dem Ausland	16
Henn und Voss. Architekten und Ingenieure (Braunschweig)	16
Paul Franke Verlag (Berlin)	16
Ostmarken-Rundfunk (Königsberg)	16
Oberbürgermeister (Trier)	16
Stadtbibliothek (Bremen)	16
Bürgermeister und Rat der Stadt Nürnberg (Nürnberg)	16
Deutsches Auslands-Institut (Stuttgart)	16
Historische Zeitschrift (München ; Berlin) (1859-)	16
Deutschland (DDR) / Ministerrat / Büro des Präsidiums	16
Landestheater (Halle, Saale)	16
Meinhold, C. C. & Söhne, Kgl. Hofbuchdruckerei (1777-)	16
Nymphenburger Verlagsbuchhandlung (München)	16
Altberliner Verlag Lucie Groszer (Berlin)	16
Dresdner Journal (Tageszeitung) (1848-1914)	16
Institut für Gemeinwohl (Frankfurt / Main)	16
Juristisches Literaturblatt (Zeitschrift) (1889-1918)	16
Schustermann, Zeitungsnachrichten-Bureau (Berlin)	16
Allgemeine Zeitung (München) / Beilage	16
G. Pätz'sche Buchdruckerei (Lippert & Co.) (Naumburg a. S.)	16
Karlsruher Tagblatt (Zeitung) (1834-1937)	16
Stadt Leipzig	16
Evangelisch-Lutherische Landessynode (Dresden)	16
Heinemann Educational Books (London)	16
Robert E. Schmidt-Stiftung	16
Werner & Winter Lithographische Anstalt und Druckerei (Frankfurt/M.)	16
Internationales Tanzprojekt (7. : 1996 : Bielefeld) (1996-1996)	16
Theater (Münster, Westfalen)	16
Nikolaikirche Leipzig	16
Oberamt (Heidelberg)	16
Technical Conference on the International Map of the World on the Million Scale / Committee II	16
Universität (Leipzig) / Mathematisch-naturwissenschaftliche Fakultät	16
Sächsische Akademie der Wissenschaften zu Leipzig. Archiv	16
Hermann Rinn Verlag (München)	16
Staatliche Kunstsammlungen (Dresden) / Münzkabinett	16
Tribüne / Druckerei (Dresden)	16
Deutsche Schillergesellschaft	16
Annalen der Physik (Zeitschrift)	16
Universität Mainz	16
Arbeitsgemeinschaft mitteldeutscher Tanzkreise	16
Essener Konzertdirektion	16
"De Amsterdamsche Kunstkring ""Voor Allen"""	16
Deutsche Gesellschaft für Übersee-Kontakte	16
DISCO 2000 Producing centre	16
TanzAffiche (Zeitschrift)	16
Botschaft der Bundesrepublik Deutschland (Asunción)	16
"Buchverlag der ""Hilfe"" (Berlin)"	16
C. A. Schwetschke & Sohn (Berlin)	16
Congrès International des Sciences Préhistoriques et Protohistoriques (2, 1936, Oslo)	16
Nationalsozialistische Deutsche Arbeiterpartei / Völkischer Beobachter	16
Naturhistorisches Museum (Wien) / Anthropologisch-Prähistorische Sammlung	16
Vormaliges Reichskammergericht / Ausschuss Advokaten und Prokuratoren	16
Verein Düsseldorfer Künstler zur gegenseitigen Unterstützung und Hilfe (Düsseldorf)	16
Evangelischer Verein der Gustav-Adolf-Stiftung / Leipziger Hauptverein	16
Carl Sabo (Berlin)	16
Hamburgische Hausbibliothek	16
Blätter für deutsche und internationale Politik (Köln)	16
Rheinische Creditbank (Mannheim) / Filiale Freiburg i. B.	16
Georg-Wigand-Verlagsbuchhandlung (Leipzig)	16
Kultusministerium	16
Firma Trautwein	16
Berliner Freie Studentenschaft	16
Neues Theater (Frankfurt, Main)	16
Kollegienkirche (Jena)	16
Redaktion Rheinischer Merkur (Köln)	16
Linder AG (Zürich)	16
Vereinigte Stadttheater (Bochum; Duisburg)	16
Hotel Jensch (Sestri Levante)	16
Frankfurter Hefte (Zeitschrift, Frankfurt, M.)	16
Internationale Kunstausstellung (Berlin)	16
Buchhandlung Friedrich Cohen (Bonn)	16
Jüdische Gemeinde (Breslau )	16
Ernst Röttger Verlagsbuchhandlung (Kassel)	16
Callwey, Georg D. W., Verlagsbuchhandlung (München)	16
Volksbildungsausschuss (Tübingen)	16
Basil Blackwell Publisher (Oxford)	16
Bremer Nachrichten / Redaktion	16
Prokla-Redaktion	16
Anthropos. Internationale Zeitschrift für Völker und Sprachkunde (St. Augustin) (1906-)	16
Württemberg / Finanzamt (Tübingen)	16
Fa. Carl Walz Buchbinderei (Tübingen)	16
A. Riemenschneider / Figuren- und Säulenfabrik (Leipzig)	16
Schwäbische Forschungsgemeinschaft (Augsburg)	16
Studiengemeinschaft der Evangelischen Akademien (Bad Boll)	16
International Editors (Buenos Aires)	16
