wert	haeufigkeit
Kunst- und Naturalienkammer (Halle, Saale)	137
Kulturfonds der Deutschen Demokratischen Republik (Berlin, Ost)	136
Karras (Halle, Saale) (1869-)	136
"Interessengemeinschaft ""Musische Betätigung unserer Kinder"" (1987-)"	136
Redaktion Deutsche Rundschau (Berlin)	135
Festival für zeitgenössisches Tanztheater Bilbao	134
Brockhaus, Friedrich Arnold  Verlag	131
Prosaschreiben (1963-1964)	131
Kunstverein (Hannover) / Vorstand	130
Akademie (Berlin)	130
Ulenspiegel (Berlin)	129
Konzertdirektion Leonard (Berlin)	129
Hamburger Bewegungschöre Rudolf von Laban (1922-1934)	128
"Colloquium ""Dramenschreiben"""	128
Deutsches Archäologisches Institut, Archiv der Zentrale	126
Kölnische Zeitung (Köln)	126
Der Nationale Geistige Rat der Baha'i in Deutschland e.V.	126
Frankfurter Rundschau	125
Arting	125
Königliche Bibliothek (Berlin) / Autographen-Sammlung Darmstaedter	124
Schwäbischer Bund	124
Institut für Musikforschung Groß-Berlin (Berlin)	123
Regierung	123
Steinway & Sons	122
Journal für praktische Chemie (Zeitschrift) (1834-)	121
Günaydın (1968-1999)	121
Berliner Tageblatt (Zeitung) (1872-1939)	120
Konstanz (Diözese) / Generalvikariat	120
Czech Refugee Trust Fund	119
Ostindische Kompanie (Dänemark)	118
Südwestfunk (Baden-Baden)	117
Handbuch der Finanzwissenschaft (Sammelwerk)	117
Philosophische Studien (Zeitschrift) (1883-1902)	116
Berlin	115
Stiftung Wissenschaft und Politik. Stiftungsrat	114
Deutscher Verein (Helenendorf)	113
Ithma : Internationale Theater- und Musik-Agentur	113
Karamu House	113
Folkwangschulen (Essen)	112
Die Feder	112
Deutsche Zeitung	110
Reuther & Reichard, Verlagsbuchhandlung (Berlin)	110
Braunschweig-Lüneburg / Justizkanzlei	110
Ferrara Musica	110
Universität (Heidelberg) / Lehrstätte für Frühgeschichte	109
Berufsvereinigung Deutscher Prähistoriker (1921/1923-)	109
Deutsches Elektronen-Synchrotron. Wissenschaftlicher Rat	109
Dresden / Rat der Stadt	107
Die Weltbühne	107
Rutholph Laban, Tanztheater und Kammertanzbühne, Tournée-Leitung (1926-)	107
Fernmeldeamt 3 Berlin/ Fernmelderechnungsstelle	107
Norddeutscher Rundfunk	106
"""Harmonie"" - Verlagsgesellschaft f. Literatur u. Kunst"	106
Verlag Otto Walter (Olten)	105
Rhein-Neckar-Zeitung (Heidelberg)	104
Bayrischer Rundfunk München	104
Die Literatur (Stuttgart)	103
Archiv für öffentliches Recht (Zeitschrift) (1885-1910)	103
Deutscher Fernsehfunk (Berlin, Ost)	102
Freie Deutsche Jugend	102
Universitas. Zeitschrift für Wissenschaft, Kunst und Literatur	102
Compania de Danza-Teatro DANTEA	102
Reichssender (Stuttgart)	102
Die Weltbühne / Zeitschrift (Berlin)	101
Grundschule (Berbisdorf, Bezirk Dresden)	101
Internationales Tanzprojekt (9. : 1998 : Bielefeld)	100
Zimmermann & Co (Markneukirchen)	100
Disconto-Gesellschaft / Direktion (Berlin)	99
Roland von Berlin	99
Großherzoglich Badische Universitäts-Bibliothek (Heidelberg)	99
Societé académique des enfans d'Apollon (Paris) (1741-)	99
Staat Hannover / Innenministerium	99
Lessing-Theater (Berlin)	98
Cisne Negro	97
Stern (Zeitschrift, Hamburg)	97
Zeitschrift für Naturforschung. Redaktion	97
The Associated Press	96
Time Magazine	96
Der Minister für Wissenschaft, Kunst und Volksbildung, Berlin	95
P.E.N. Club / Hansischer Kreis (Hamburg)	95
"""Schalk"" (Red.)"	95
Sonntag : Die Kulturpolitische Wochenzeitung / Redaktion (Berlin, Ost)	94
Kaiserliche Akademie der Wissenschaften, St. Petersburg (Museum)	94
Pianohaus Wilhelm Rück (Nürnberg)	94
Postamt Berlin-Friedenau [vermutlich]	94
Dresden / Rat der Stadt / Abt. Kultur	93
Gustav Koepper-Verlag (Halle)	93
Universal-Edition A.G. (Wien)	93
Sachverständigen-Kommission Jülich-Karlsruhe	93
G.-Braunsche Hofbuchdruckerei und Verlag (Karlsruhe)	93
Fulde und Hofmann	92
Börsenblatt für den deutschen Buchhandel (1834-)	92
Sekretariat Laban (1928-)	92
Archiv des Völkerrechts (Zeitschrift)	92
Tanz für Toleranz (1998, Bonn)	91
Möseler Verlag	91
Ernst Klett Verlag (Stuttgart)	90
Sächsische Zeitung / Redaktion (Dresden)	90
Dartington Hall School / Arts Department / Music Group	90
Kammertanzbühne Laban (1921-) [vermutlich]	90
Kunstverein (Hannover) / Committée	89
Georg-August-Universität Göttingen. Institut für Theoretische Physik	89
Schauspielhaus Düsseldorf / Ordnungsausschuß am Schauspielhaus Düsseldorf (1904-1933)	89
Böhmische Exulantengemeinde (Berlin)	89
Sächsische Zeitung (Dresden)	88
United States / Department of State / Visa Division (Washington, D.C.)	88
Sozialdemokratische Partei Deutschlands	88
Kammerspiele (Santiago)	88
Deutschland (Römisch-Deutsches Reich) / Reichshofkanzlei (Wien) (1559-1806)	88
Redaktion Abendzeitung (München)	88
Phillipp Reclam jun. Verlag (Leipzig)	87
Firma Steyl & Thomas	87
Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Verwaltungsrat	87
Schauspielhaus Düsseldorf / Geschäftsführung (1904-1932)	87
P.E.N. Club / Deutsche Gruppe (Berlin)	86
Die Umschau. Die Schriftleitung (1897-1986)	86
Internationales Tanzprojekt Bielefeld (1990-2001) (1990-2001)	86
Tribüne / Verlag und Druckerei des FDGB (Berlin, Ost)	85
Verlag Bruno Henschel und Sohn (Berlin)	85
Max Kellerer Verlag (München)	85
Königliches Pädagogium (Halle, Saale)	85
Federico Pustet (Valencia)	85
Hochland. Monatsschrift für alle Gebiete des Wissens, der Literatur und Kunst (Zeitschrift) (1903-1974)	84
Festival für zeitgenössisches Tanztheater Bilbao [vermutlich]	84
"Internationale Ausstellung ""Das Jugendbuch"" (1946-1947)"	84
Riemann Musiklexikon	83
Vertriebsstelle und Verlag deutscher Bühnenschriftsteller und Bühnenkomponisten (Berlin)	82
Komité für das Richard Wagner-Denkmal in Berlin	81
Verlag von F. E. C. Leuckart (Breslau)	81
Institut für Denkmalpflege (Schwerin)	81
Hessisches Staatstheater (Wiesbaden)	80
Dresden / Rat des Bezirkes / Abteilung Kultur, Information und Dokumentation	80
Der Bibliothekar / Zentralblatt für Bibliothekswesen (Berlin, Ost)	80
Kleist-Gedenkstätte (Frankfurt, Oder)	80
New York Times Magazine	80
Kombina Dance Compagnie	80
Deutsches Museum	80
Forschungsstelle für Spektroskopie (1950-1964)	80
Nachtexpress / Redaktion (Berlin)	79
Universität (Leipzig) / Vereinigte Staatswissenschaftliche Seminare (1897-)	79
Verlagsbuchhandlung, Alfred Coppenrath (Regensburg)	79
Freier Deutscher Gewerkschaftsbund / Bundesvorstand	78
Burda GmbH	78
Ballett international, Tanz aktuell (Zeitschrift) (1994-2001)	78
Steinberg Verlag (Zürich)	78
Buchhandlung Vieweg (Braunschweig) (1799-)	78
Preussisches Forschungsinstitut für Kunstgeschichte (Marburg, Lahn)	78
Reichssender (Saarbrücken)	77
Neue Deutsche Literatur	77
Gruppe Görgen	77
International Cartographic Association / Commission II	76
Christlicher Metallarbeiter-Verband Deutschlands, Hauptgeschäftsstelle (Duisburg)	76
F.-A.-Brockhaus-Verlagsbuchhandlung	75
Indogermanische Gesellschaft	75
Dr. Herbert Haag (Steuerberater)	75
Berliner Tageblatt / Redaktion	74
Karl W. Hiersemann Verlag (Leipzig) (1892-)	74
Redaktion Frankfurter Zeitung (Frankfurt, Main)	74
Musiksammlung (Sachsen, König)	74
Allgemeiner Schriftsteller-Verein (Berlin)	74
Verlag A. W. Kafemann (Danzig)	74
Ausschuss für das Arndt-Denkmal (Bonn)	74
Tägliche Rundschau / Redaktion (Berlin, Ost)	73
Münchner Neueste Nachrichten (Zeitung) (1848-1945)	73
Technische Universität (Dresden) / FDJ-Studentenclub	73
Verband deutscher Tanzkreise	73
Urania (Berlin)	73
Deutsche Gesellschaft für Schrifttanz (1928-)	73
Logos (Zeitschrift)	72
Evangelisches Dekanat Oberheidelberg	72
Commeter'sche Kunsthandlung (Hamburg)	72
Vertriebsstelle des Verbandes Deutscher Bühnenschriftsteller (Berlin)	72
Deutsche Allgemeine Zeitung (Berlin) (1918-1945)	71
Masson & Cie (Paris)	71
Düsseldorf. Oberbürgermeister	71
Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Senat	71
Düsseldorfer Schauspielhaus / Intendant (1951-)	71
Die Kleinen Fische (München)	71
Nobelkomitee für Physik	70
Universität (Heidelberg) / Engerer Senat	70
Theologische Fakultät der Universität (Halle, Saale)	70
Postamt Berlin-Friedenau	70
Volksbühne (Berlin)	69
E. Drenker & Co. (Berlin)	69
Jüdisches Schullehrerseminar (1840-1850)	69
Leipziger Neueste Nachrichten (Zeitung)	68
Dresdner Anzeiger (Zeitung) (1808-1943)	68
Leipzig / Stadtverordnetenversammlung (1831-)	68
Internationales Tanzprojekt (10. : 1999 : Bielefeld)	68
Galerie der Jugend	68
Neue Schauspiel (Düsseldorf)	68
Die Neue Zeitung (München) (1946-1955/1951)	67
Hamburger Fremdenblatt : Rundschau im Bilde	67
Redaktion Die Tat (Zürich)	67
Der Gesellschafter oder Blätter für Geist und Herz: ein Volksblatt (Berlin)	67
Luchterhand Verlag	67
Redaktion TransAtlantik (München)	67
Münchner Buchhändlerverein	67
Spandauer Volksblatt	66
Tageszeitung (Berlin)	66
Weite Welt (Zeitschrift)	66
Universität (Mainz)	66
Rudolf von Laban Tanzbühne	66
Evangelischer Oberkirchenrat (Karlsruhe)	66
Foto Bartsch (Würzburg)	66
Ricordi, G. und Co. Musikalienhandlung (Mailand)	66
Handbuch zum Alten Testament (Sammelwerk)	66
Ministerium der Evangelischen Kirche (Erfurt)	66
Institut für Literatur- und Theaterwissenschaft Kiel	65
Schwäbischer Merkur (Zeitung) (1785-1941)	65
Universität (Dorpat) (1802-1893)	65
Bürgermeister und Rat der Stadt Delitzsch (Delitzsch)	65
Badischer Kunstverein (Karlsruhe) (1818-)	65
Josef Dederichs Garten- und Landschaftsbau (Köln-Rodenkirchen)	65
Stiftung Wissenschaft und Politik. Vorstand	65
Louis Gerschel Verlagsbuchandlung	65
Deutsche Schulen (Halle, Saale)	64
Kanematsu Memorial Institute of Pathology at Sydney Hospital	64
Oberkonsistorium (Dresden)	64
Ostindische Missionsanstalt (Halle, Saale)	64
Preußen / Minister für Wissenschaft, Kunst und Volksbildung	63
Gegenwart (Berlin) / Redaktion	63
Nerother Wandervogel	63
Hessischer Rundfunk (Frankfurt, Main)	63
Konkret Zeitschrift (1957-)	63
Verband Deutscher Schriftsteller in der Industriegewerkschaft Druck und Papier	63
Unterrichtsanstalt des Vereins für Cultur und Wissenschaft der Juden (1821-1824)	63
Frankfurter Rundschau (Frankfurt/Main)	62
Forschungen und Fortschritte (Zeitschrift) (Redaktion) (1925-1967)	62
Süddeutsche Zeitung	62
Reclam, Philipp jun. Verlag	62
International Federation for Documentation/C 91 / Revisionskomitee	62
Tanz für Toleranz (1997, Bonn)	62
Universität (Heidelberg) / Frühgeschichtliches Institut	62
Messe (Leipzig)	62
Deutscher Verein gegen den Mißbrauch geistiger Getränke (Berlin)	62
Quack, Kühn & Partner	62
Frankfurter Journal (Zeitung) (1783-1903)	61
Neue Zürcher Zeitung / Redaktion	61
Luchterhand Literaturverlag (Darmstadt; Frankfurt, Main)	61
Redaktion Allgemeine Zeitung (Augsburg)	61
Universität (Heidelberg) / Universitätskasse	61
Folkwangschule der Stadt Essen	61
Gesellschaft für Handel und Grundbesitz R. Gierth & Co.	61
Schmollers Jahrbuch (Zeitschrift) (1871-)	60
Youn Duck kyung Dance Company	60
Fues Verlag (Leipzig)	60
Frauenzimmerstift (Halle, Saale)	60
Archiv für die civilistische Praxis (Zeitschrift)	60
Mertel (Salzburg)	60
Milit.-med. Akademie (St. Petersburg)	60
Gerd Natschinski mit seinem Orchester	60
Internationale Janusz-Korczak-Gesellschaft (Warszawa) (1977-)	60
Deutscher Bücher Bund (Düsseldorf)	60
Compagnie Jorge Lavelli	60
Hegereiter-Verlag (Rothenburg ob d. Tauber)	59
Deutscher Schriftsteller-Verband (Berlin)	59
Aufbau / Redaktion (Berlin, Ost)	59
Sonntag / Redaktion	59
Heidelberger Tageblatt	59
Internationales Tanzprojekt (11. : 2000 : Bielefeld) (2000-2000) [vermutlich]	59
Universität des Saarlandes (Saarbrücken) / Institut für Vor- und Frühgeschichte	59
Staats- und gelehrte Zeitung des Hamburgischen unpartheyischen Correspondenten	59
Geographische Gesellschaft (Berlin)	59
Deutsche Physikalische Gesellschaft in der Britischen Zone (1946-1950)	59
Reinhold Steckner Bankgeschäft (1855-1930)	59
Stuttgarter Zeitung	58
George Allen and Unwin Ltd. (London)	58
The University of Chicago Press	58
Berliner Zeitung / Redaktion	58
Universität (Leipzig) / Rektorat	58
Verlagsbuchhandlung F.A. Brockhaus (Leipzig)	58
Süddeutsche Juristen-Zeitung	58
Amtsgericht (Berlin-Charlottenburg)	58
Archiv für die gesamte Psychologie (Zeitschrift)	58
SCM Press Ltd. (London)	58
Harcourt, Brace and World Verlag	58
Foto Fürstenberg (Hamburg)	58
Vereinigung der Freunde der Internationalen Jugendbibliothek (1948-1995)	58
Untersuchungskommission (Erfurt)	58
Westdeutscher Rundfunk	57
Hicem (Lissabon)	57
Redaktion Die Zeit (Hamburg)	57
Kammarteater (Uppsala)	57
Gouvernement (Tranquebar)	57
Redaktion Stimmen der Zeit (München)	56
Rat des Bezirkes (Dresden)	56
C. G. Röder GmbH (Leipzig)	56
Internationales Tanzprojekt (8. : 1997 : Bielefeld)	56
Kinderbewegungschor  (1927-)	56
Bielefeld. Kulturbüro	56
Frankfurter Rundschau, Zeitung	56
Civitas Gentium	56
Älteste der Judenschaft	56
"Ausstellung """"The Paintings"" (with Us in the Nature)"" von Gilbert & George im Kunstmuseum Luzern (20.05.-25.06.1972)"	56
Ostindische Kompanie (England)	56
Die Feder (Zeitschrift) (1898-)	55
P.E.N.	55
Gesellschaft für Senderechte (Berlin)	55
Archiv des öffentlichen Rechts (Zeitschrift) (1911-)	55
Breslau (Theater)	55
Internationales Tanzprojekt (8. : 1997 : Bielefeld) [vermutlich]	55
Konsistorium (Jena)	55
Postscheckamt (Berlin, West) [vermutlich]	55
Lippoldsberger Freundeskreis	55
SDR	55
