wert	gesamt	mit_source	anteil_mit_source_pct
Lied	330	0	0.00
Dichtung <Begriff>	329	329	100.00
Chronik	328	328	100.00
Mitschriften	327	0	0.00
Gruß	327	327	100.00
Pass	323	323	100.00
Fernsehsendung	321	321	100.00
Testament	317	317	100.00
Widmungsgedicht	315	315	100.00
Schulheft	311	311	100.00
Seminare und Kolloquien	306	0	0.00
Ehrung	302	302	100.00
Singspiel	300	300	100.00
Kochbuch	299	299	100.00
Teilarchiv	290	0	0.00
Autorenlesung	290	290	100.00
Kryptonachlass	287	0	0.00
Unechter Nachlass	287	0	0.00
Manuskript	284	284	100.00
Leserbrief	279	279	100.00
Notizen	266	0	0.00
Honorar	266	266	100.00
Gedicht	265	265	100.00
Typoskript Vortrag	262	0	0.00
Feature	256	256	100.00
Stimme >Musikalische Ausgabeform>	255	255	100.00
Medaille	241	241	100.00
Vertonung	241	241	100.00
Kopialbuch	236	236	100.00
Studienbescheinigung	225	0	0.00
Ding	225	225	100.00
Depositum	215	0	0.00
Offener Brief	215	215	100.00
Werkverzeichnis	210	209	99.52
Pauschalaufnahme	202	0	0.00
Nachwort	199	199	100.00
Paratext	193	193	100.00
Eintrittskarte	193	193	100.00
Versepen	191	0	0.00
Provenienzbestand	191	0	0.00
Bleistiftzeichnung	190	190	100.00
Menü	188	188	100.00
Patentschrift	186	186	100.00
Liedaufzeichnung	186	0	0.00
Foto	183	0	0.00
Epos	183	183	100.00
Hörspiele	181	0	0.00
Skizzenbuch	171	171	100.00
Teilsammlung	169	0	0.00
Publikation Sonderdruck	169	0	0.00
Adressbuch	167	167	100.00
Exposé	163	163	100.00
Grußkarte	161	161	100.00
Liturgische Handschrift	154	0	0.00
Prozessakte	153	153	100.00
Kriegsdokument	150	0	0.00
Diplom	147	147	100.00
Autograph	146	41	28.08
Audioaufzeichnung	146	146	100.00
Klavierauszug	142	142	100.00
Glosse <Journalismus>	125	125	100.00
Schulbuch	124	0	0.00
Vermögensaufstellung	124	124	100.00
Arbeitsbuch	119	119	100.00
Reportage	118	118	100.00
Ansichtskarte	118	118	100.00
Exzerpte	117	0	0.00
Kriegstagebuch	112	0	0.00
Haushaltsbuch	110	110	100.00
Märchen	109	64	58.72
Dialog	107	104	97.20
Lemma	106	106	100.00
